"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
"9191",71351,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"9192",71352,1,2,2,2,2,2,2,1,1,5,1.02,1,2,1
"9193",71353,2,2,1,2,2,2,2,2,2,3,1.23,1,2,77
"9194",71354,1,2,2,1,2,2,2,2,2,2,0.66,1,NA,NA
"9195",71355,1,2,2,2,2,2,2,2,2,9,2.22,3,NA,NA
"9196",71356,1,1,2,2,2,2,2,1,2,8,2.08,3,NA,NA
"9197",71357,1,2,2,2,2,2,2,2,2,10,4.49,3,NA,NA
"9198",71358,1,2,2,2,2,2,2,2,1,5,0.77,1,2,1
"9199",71359,1,2,2,2,2,2,2,2,2,2,0.14,1,2,2
"9200",71360,1,2,2,2,2,2,2,2,2,4,0.7,1,2,1
"9201",71361,1,2,2,2,2,2,2,2,2,10,4.73,3,NA,NA
"9202",71362,2,2,2,2,2,2,2,2,1,99,NA,1,9,NA
"9203",71363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9204",71364,1,2,2,2,2,2,2,2,2,4,0.42,1,2,1
"9205",71365,1,2,2,2,2,2,2,2,2,3,0.88,1,NA,NA
"9206",71366,1,2,2,2,2,2,2,2,1,1,0.22,1,2,1
"9207",71367,1,2,2,2,2,2,2,2,2,10,3.02,3,NA,NA
"9208",71368,1,1,2,2,2,2,2,2,2,10,3.77,3,NA,NA
"9209",71369,1,1,1,2,2,2,2,2,2,99,NA,1,2,1
"9210",71370,2,2,2,2,2,2,2,2,1,1,0.1,1,2,1
"9211",71371,1,2,1,2,1,2,2,2,2,6,1.82,2,NA,NA
"9212",71372,1,2,2,2,2,2,2,2,2,3,0.53,1,2,1
"9213",71373,1,2,2,2,2,2,2,2,2,5,1.17,1,2,1
"9214",71374,1,2,2,2,2,2,2,2,2,11,3.67,3,NA,NA
"9215",71375,2,2,1,2,1,2,2,2,2,7,2.38,3,NA,NA
"9216",71376,1,2,2,2,2,2,2,2,2,6,1.34,2,NA,NA
"9217",71377,1,2,1,2,1,2,2,2,2,NA,NA,NA,NA,NA
"9218",71378,1,2,2,2,2,1,2,2,1,9,1.45,2,NA,NA
"9219",71379,1,2,2,2,2,2,2,1,1,1,0,1,1,NA
"9220",71380,2,2,2,1,1,2,1,2,2,6,1.82,2,2,2
"9221",71381,1,2,2,2,2,2,2,1,1,11,4.53,3,NA,NA
"9222",71382,2,2,1,2,2,2,2,1,2,9,3.97,3,NA,NA
"9223",71383,1,2,2,2,2,2,2,2,2,8,1.37,2,1,NA
"9224",71384,1,2,1,2,1,2,2,2,2,7,1.49,2,2,1
"9225",71385,1,2,2,2,2,2,2,2,2,7,1.16,1,2,5
"9226",71386,1,2,2,2,2,2,2,1,2,10,3.12,3,NA,NA
"9227",71387,9,2,2,2,2,1,2,2,1,99,NA,9,9,NA
"9228",71388,1,2,2,2,2,2,2,2,1,7,1.55,2,2,1
"9229",71389,1,2,2,2,2,2,2,1,1,11,3.64,3,NA,NA
"9230",71390,1,1,1,2,2,2,2,1,2,7,2.38,3,NA,NA
"9231",71391,1,2,2,2,2,2,2,2,2,10,2.4,3,NA,NA
"9232",71392,1,1,2,2,2,2,2,2,2,9,2.68,3,2,4
"9233",71393,1,2,2,2,2,2,2,2,2,7,3.55,3,NA,NA
"9234",71394,2,2,1,2,2,1,2,2,2,4,1.14,1,2,2
"9235",71395,1,2,2,2,2,2,2,2,2,6,3.01,3,NA,NA
"9236",71396,1,2,1,2,2,1,2,2,2,2,0.39,1,2,1
"9237",71397,1,2,2,2,2,2,2,1,2,11,5,3,NA,NA
"9238",71398,2,1,1,2,2,1,2,1,1,6,0.93,1,2,1
"9239",71399,1,2,2,2,2,2,2,1,2,9,2.22,3,NA,NA
"9240",71400,1,2,2,2,2,2,2,2,2,99,NA,1,2,2
"9241",71401,2,2,1,1,2,2,2,2,1,5,1.55,2,2,2
"9242",71402,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"9243",71403,1,2,2,2,2,2,2,2,2,6,1.15,1,2,1
"9244",71404,9,2,2,2,2,2,2,2,2,99,NA,9,9,NA
"9245",71405,2,2,1,2,2,2,2,2,2,3,0.97,1,2,1
"9246",71406,2,2,2,2,2,1,2,2,2,3,0.46,1,2,1
"9247",71407,1,2,2,2,2,2,2,2,2,8,3.17,3,NA,NA
"9248",71408,1,2,2,2,2,2,1,2,2,2,0.32,1,2,1
"9249",71409,1,2,2,2,2,2,2,2,2,11,2.72,3,NA,NA
"9250",71410,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"9251",71411,2,2,2,2,2,2,2,2,2,1,0.09,1,2,1
"9252",71412,1,2,2,2,2,2,2,2,2,9,2.68,3,NA,NA
"9253",71413,1,2,2,2,2,2,2,2,2,4,0.84,1,2,1
"9254",71414,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"9255",71415,1,2,2,1,2,1,2,2,2,7,1.1,1,7,NA
"9256",71416,1,2,2,2,2,2,2,2,2,99,NA,3,NA,NA
"9257",71417,1,2,2,1,2,2,2,2,2,99,NA,9,NA,NA
"9258",71418,1,2,2,2,2,2,2,1,2,12,4.69,3,NA,NA
"9259",71419,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
