Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,Savings_Over5000,TotalSavings
1,73557,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.86,1.0,9.0,
2,73558,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,0.92,1.0,1.0,
3,73559,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,10.0,4.37,3.0,,
4,73560,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9.0,2.52,3.0,,
5,73561,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,5.0,3.0,,
6,73562,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,5.0,3.0,,
7,73563,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
8,73564,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,8.0,4.18,3.0,,
9,73565,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
10,73566,1.0,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,4.0,0.51,1.0,2.0,1.0
11,73567,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.14,1.0,2.0,1.0
12,73568,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,3.03,3.0,,
13,73569,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
14,73570,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,0.91,1.0,2.0,4.0
15,73571,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
16,73572,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,0.55,1.0,2.0,1.0
17,73573,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,1.72,2.0,2.0,4.0
18,73574,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
19,73575,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.92,1.0,2.0,2.0
20,73576,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,0.76,1.0,2.0,4.0
21,73577,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.3,1.0,2.0,1.0
22,73578,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,1.0,2.0,1.0
23,73579,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.76,1.0,,
24,73580,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,77.0,,1.0,2.0,1.0
25,73581,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
26,73582,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.54,2.0,2.0,2.0
27,73583,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,11.0,4.3,3.0,,
28,73584,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.46,3.0,,
29,73585,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,4.64,3.0,,
30,73586,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.27,1.0,2.0,1.0
31,73587,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,11.0,2.66,3.0,,
32,73588,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.84,2.0,2.0,1.0
33,73589,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,1.46,2.0,1.0,
34,73590,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.18,1.0,2.0,1.0
35,73591,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
36,73592,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.06,3.0,,
37,73593,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,3.77,3.0,,
38,73594,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.41,1.0,2.0,1.0
39,73595,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,2.32,3.0,,
40,73596,1.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,8.0,2.43,3.0,,
41,73597,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,5.0,1.83,2.0,,
42,73598,,,,,,,,,,,,,,
43,73599,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,5.0,1.21,1.0,2.0,2.0
44,73600,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.76,1.0,2.0,1.0
45,73601,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
46,73602,,,,,,,,,,,,,,
47,73603,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,2.52,3.0,,
48,73604,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,2.72,3.0,,
49,73605,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,4.28,3.0,,
50,73606,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,3.48,3.0,,
51,73607,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.22,1.0,2.0,3.0
52,73608,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.75,1.0,2.0,1.0
53,73609,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.04,1.0,2.0,1.0
54,73610,1.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,9.0,1.88,3.0,,
55,73611,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.41,1.0,2.0,1.0
56,73612,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,0.76,1.0,2.0,1.0
57,73613,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,10.0,2.28,3.0,,
58,73614,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,0.67,1.0,2.0,1.0
59,73615,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,1.25,1.0,2.0,1.0
60,73616,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
61,73617,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.38,1.0,2.0,1.0
62,73618,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,77.0,,1.0,1.0,
63,73619,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.93,1.0,2.0,1.0
64,73620,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
65,73621,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,10.0,4.64,3.0,,
66,73622,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,11.0,5.0,3.0,,
67,73623,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,4.03,3.0,,
68,73624,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,0.68,1.0,2.0,1.0
69,73625,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
70,73626,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.21,1.0,1.0,
71,73627,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
72,73628,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,6.0,2.16,3.0,,
73,73629,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.18,3.0,,
74,73630,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
75,73631,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.04,1.0,2.0,1.0
76,73632,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.29,3.0,,
77,73633,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,4.78,3.0,,
78,73634,1.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,2.0,7.0,2.12,3.0,2.0,1.0
79,73635,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
80,73636,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,2.55,3.0,,
81,73637,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,0.26,1.0,1.0,
82,73638,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,6.0,2.3,3.0,,
83,73639,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,7.0,1.6,2.0,2.0,1.0
84,73640,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.54,2.0,,
85,73641,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.72,1.0,2.0,1.0
86,73642,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,3.03,3.0,,
87,73643,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.78,2.0,1.0,
88,73644,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,9.0,2.0,1.0
89,73645,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,11.0,3.0,3.0,,
90,73646,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.8,3.0,,
91,73647,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,8.0,2.76,3.0,,
92,73648,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,3.0,,
93,73649,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.31,1.0,2.0,2.0
94,73650,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,0.75,1.0,,
95,73651,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,2.52,3.0,,
96,73652,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.91,3.0,,
97,73653,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,0.23,1.0,2.0,1.0
98,73654,7.0,2.0,2.0,7.0,7.0,7.0,7.0,7.0,7.0,99.0,,1.0,2.0,1.0
99,73655,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,1.72,2.0,2.0,4.0
100,73656,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,4.28,3.0,,
101,73657,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,1.52,2.0,2.0,1.0
102,73658,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.76,3.0,,
103,73659,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,3.87,3.0,2.0,1.0
104,73660,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.82,2.0,2.0,1.0
105,73661,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,3.34,3.0,,
106,73662,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.59,1.0,2.0,1.0
107,73663,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,4.94,3.0,,
108,73664,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,4.53,3.0,,
109,73665,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,77.0,,1.0,2.0,1.0
110,73666,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,9.0,3.81,3.0,,
111,73667,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,4.0,0.65,1.0,2.0,1.0
112,73668,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.4,1.0,2.0,1.0
113,73669,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,0.15,1.0,2.0,1.0
114,73670,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.88,1.0,2.0,1.0
115,73671,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.82,1.0,2.0,1.0
116,73672,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,5.0,3.0,,
117,73673,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
118,73674,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,77.0,,2.0,7.0,
119,73675,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.86,1.0,2.0,1.0
120,73676,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,1.41,2.0,,
121,73677,1.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,11.0,5.0,3.0,,
122,73678,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,3.0,0.41,1.0,2.0,1.0
123,73679,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.09,3.0,2.0,1.0
124,73680,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,2.33,3.0,,
125,73681,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,1.29,1.0,2.0,1.0
126,73682,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,0.36,1.0,2.0,1.0
127,73683,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0,2.01,3.0,,
128,73684,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
129,73685,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.23,1.0,2.0,1.0
130,73686,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.75,1.0,2.0,1.0
131,73687,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.27,1.0,2.0,1.0
132,73688,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,1.6,2.0,,
133,73689,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,4.3,3.0,,
134,73690,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.63,3.0,,
135,73691,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,7.0,1.13,1.0,2.0,1.0
136,73692,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.85,1.0,2.0,1.0
137,73693,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.8,1.0,2.0,1.0
138,73694,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,10.0,4.37,3.0,,
139,73695,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,8.0,3.48,3.0,,
140,73696,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.21,1.0,2.0,1.0
141,73697,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,3.05,3.0,,
142,73698,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,1.85,2.0,,
143,73699,,,,,,,,,,,,,,
144,73700,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.51,1.0,2.0,1.0
145,73701,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,4.53,3.0,,
146,73702,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,3.05,3.0,,
147,73703,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
148,73704,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,1.0,5.0,0.51,1.0,2.0,1.0
149,73705,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,4.03,3.0,,
150,73706,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,6.0,1.38,2.0,2.0,1.0
151,73707,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,77.0,,7.0,2.0,77.0
152,73708,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
153,73709,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,77.0,,7.0,,
154,73710,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,5.0,0.68,1.0,2.0,1.0
155,73711,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.47,1.0,2.0,1.0
156,73712,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
157,73713,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.76,1.0,1.0,
158,73714,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,4.12,3.0,,
159,73715,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.46,3.0,,
160,73716,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,5.0,3.0,,
161,73717,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.7,2.0,2.0,1.0
162,73718,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.74,1.0,2.0,77.0
163,73719,1.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,0.67,1.0,2.0,1.0
164,73720,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,8.0,2.43,3.0,,
165,73721,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,3.0,1.25,1.0,,
166,73722,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,7.0,3.13,3.0,,
167,73723,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,5.0,3.0,,
168,73724,,,,,,,,,,,,,,
169,73725,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,8.0,2.9,3.0,,
170,73726,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,0.82,1.0,2.0,1.0
171,73727,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,0.61,1.0,2.0,1.0
172,73728,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,3.75,3.0,,
173,73729,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9.0,2.65,3.0,,
174,73730,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,77.0,,3.0,2.0,1.0
175,73731,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,2.77,3.0,,
176,73732,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,3.05,3.0,,
177,73733,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,2.0,2.0,1.0
178,73734,2.0,2.0,2.0,1.0,2.0,1.0,1.0,2.0,2.0,4.0,0.87,1.0,2.0,1.0
179,73735,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0
180,73736,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,,,,,
181,73737,1.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,1.0,5.0,0.75,1.0,,
182,73738,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.21,1.0,,
183,73739,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.72,2.0,2.0,1.0
184,73740,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,1.01,1.0,,
185,73741,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,2.0,2.0,1.0
186,73742,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.38,2.0,7.0,
187,73743,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.13,1.0,2.0,1.0
