Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,INQ300,IND310,INQ320
49,83780,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,10.0,2.53,3.0,2.0,2.0,1.0
50,83781,1.0,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,,,,,,4.0
51,83782,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.05,1.0,2.0,1.0,1.0
52,83783,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,4.64,3.0,1.0,,1.0
53,83784,,,,,,,,,,,,,,,
54,83785,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,1.0,,1.0
55,83786,7.0,7.0,7.0,2.0,2.0,2.0,2.0,7.0,2.0,,,,,,1.0
56,83787,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.22,1.0,2.0,1.0,3.0
57,83788,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.43,2.0,1.0,,1.0
58,83789,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,5.0,3.0,1.0,,1.0
59,83790,1.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,1.13,1.0,2.0,1.0,1.0
60,83791,1.0,2.0,1.0,2.0,1.0,2.0,2.0,9.0,2.0,99.0,,3.0,9.0,,1.0
61,83792,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.96,3.0,2.0,1.0,1.0
62,83793,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,0.92,1.0,2.0,1.0,1.0
63,83794,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,1.0,,1.0
64,83795,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.78,2.0,2.0,1.0,1.0
65,83796,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.73,2.0,1.0,,1.0
66,83797,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,10.0,2.53,3.0,2.0,1.0,1.0
67,83798,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,1.0,,1.0
68,83799,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,10.0,3.58,3.0,2.0,1.0,1.0
69,83800,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,2.0,2.0,4.0,1.0
70,83801,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,1.0,,,,,,2.0
71,83802,,,,,,,,,,,,,,,
72,83803,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.02,3.0,2.0,1.0,1.0
73,83804,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,1.0,2.0,1.0,1.0
74,83805,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.39,3.0,2.0,1.0,1.0
75,83806,1.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,0.0,1.0,2.0,1.0,1.0
76,83807,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,1.0,2.0,1.0,1.0
77,83808,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,1.63,2.0,2.0,1.0,1.0
78,83809,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,8.0,1.98,3.0,2.0,3.0,1.0
79,83810,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,7.0,1.1,1.0,2.0,1.0,1.0
