SEQN,Monthly family income,Total household income,Total family income,education level,Year
62401,7,8,8,5,2011.2012
62404,4,6,6,3,2011.2012
62406,9,7,7,5,2011.2012
62407,7,3,3,4,2011.2012
62408,8,7,7,4,2011.2012
62409,3,3,3,3,2011.2012
62410,5,5,5,4,2011.2012
62411,6,7,7,4,2011.2012
62412,6,6,6,2,2011.2012
62413,1,5,5,4,2011.2012
62414,6,2,2,3,2011.2012
62415,12,15,15,3,2011.2012
62416,9,10,10,4,2011.2012
62417,7,14,8,4,2011.2012
62418,6,6,6,1,2011.2012
62419,6,5,5,3,2011.2012
62421,6,6,1,5,2011.2012
62423,11,14,14,4,2011.2012
62427,5,4,4,3,2011.2012
62429,7,14,14,5,2011.2012
62430,7,9,9,5,2011.2012
62431,2,2,2,2,2011.2012
62432,12,15,15,5,2011.2012
62436,3,4,4,1,2011.2012
62437,3,4,4,2,2011.2012
62439,12,15,15,4,2011.2012
62440,7,7,7,2,2011.2012
62441,2,2,2,1,2011.2012
62443,7,8,8,4,2011.2012
62444,1,1,1,5,2011.2012
62445,4,6,6,4,2011.2012
62446,1,1,1,3,2011.2012
62447,7,6,6,4,2011.2012
62448,3,6,6,3,2011.2012
62449,10,14,14,5,2011.2012
62450,7,7,7,4,2011.2012
62452,3,4,4,3,2011.2012
62453,4,6,6,4,2011.2012
62454,4,5,5,2,2011.2012
62455,12,15,15,3,2011.2012
62456,7,14,14,5,2011.2012
62460,12,15,15,5,2011.2012
62461,7,6,6,3,2011.2012
62462,12,15,15,5,2011.2012
62463,2,5,5,1,2011.2012
62464,8,10,7,3,2011.2012
62465,8,14,14,5,2011.2012
62466,6,7,7,4,2011.2012
62467,5,5,5,5,2011.2012
62469,3,4,4,2,2011.2012
62470,3,6,6,3,2011.2012
62473,5,6,6,5,2011.2012
62474,3,6,3,4,2011.2012
62475,2,6,1,3,2011.2012
62476,5,6,3,3,2011.2012
62477,7,7,7,3,2011.2012
62478,2,1,1,3,2011.2012
62479,8,10,10,4,2011.2012
62480,11,14,14,5,2011.2012
62481,11,10,10,5,2011.2012
62482,5,10,6,3,2011.2012
62483,5,4,4,4,2011.2012
62484,5,6,6,4,2011.2012
62485,1,99,1,4,2011.2012
62486,7,8,8,3,2011.2012
62487,11,14,14,2,2011.2012
62488,10,15,15,4,2011.2012
62489,4,4,4,2,2011.2012
62491,12,15,15,4,2011.2012
62492,9,10,10,2,2011.2012
62494,7,15,7,4,2011.2012
62495,10,10,10,4,2011.2012
62497,12,15,15,5,2011.2012
62498,8,15,15,3,2011.2012
62499,4,4,4,4,2011.2012
62501,8,14,14,4,2011.2012
62502,3,3,3,4,2011.2012
62503,6,6,6,1,2011.2012
62504,3,3,3,1,2011.2012
62506,3,4,4,3,2011.2012
62507,2,3,3,3,2011.2012
62508,12,15,15,4,2011.2012
62509,5,6,6,5,2011.2012
62510,8,7,7,3,2011.2012
62511,3,3,3,3,2011.2012
62512,12,15,15,5,2011.2012
62513,5,5,5,2,2011.2012
62514,6,6,6,3,2011.2012
62515,2,1,1,1,2011.2012
62516,7,14,14,3,2011.2012
62518,12,15,15,5,2011.2012
62519,2,7,2,3,2011.2012
62521,7,14,14,5,2011.2012
62522,2,9,9,4,2011.2012
62523,6,6,6,3,2011.2012
62524,8,15,7,5,2011.2012
62525,3,3,3,4,2011.2012
62530,5,5,5,2,2011.2012
62531,3,2,2,3,2011.2012
62533,8,8,8,4,2011.2012
62534,2,3,3,4,2011.2012
62535,11,14,14,5,2011.2012
62537,8,7,7,2,2011.2012
62538,12,15,15,5,2011.2012
62539,3,2,2,2,2011.2012
62541,3,14,14,4,2011.2012
62543,2,2,2,4,2011.2012
62544,9,14,14,5,2011.2012
62545,12,15,15,5,2011.2012
62546,5,6,6,4,2011.2012
62547,3,3,3,2,2011.2012
62548,8,7,7,3,2011.2012
62550,11,15,15,5,2011.2012
62551,12,15,15,5,2011.2012
62552,11,15,15,5,2011.2012
62553,11,14,14,2,2011.2012
62555,6,7,7,4,2011.2012
62556,9,10,10,5,2011.2012
62557,4,4,4,1,2011.2012
62558,8,14,14,3,2011.2012
62559,4,5,5,1,2011.2012
62561,9,8,8,5,2011.2012
62562,1,1,1,2,2011.2012
62564,1,1,1,3,2011.2012
62565,3,7,5,5,2011.2012
62566,1,1,1,2,2011.2012
62568,5,4,4,2,2011.2012
62570,2,2,2,2,2011.2012
62571,11,14,14,5,2011.2012
62572,7,7,7,5,2011.2012
62573,2,6,3,4,2011.2012
62574,6,9,9,3,2011.2012
62576,9,9,9,1,2011.2012
62577,5,6,6,4,2011.2012
62578,6,7,7,4,2011.2012
62579,4,5,5,4,2011.2012
62581,12,15,15,4,2011.2012
62582,3,4,4,4,2011.2012
62583,7,8,8,5,2011.2012
62584,10,8,8,3,2011.2012
62585,3,3,3,3,2011.2012
62586,4,5,5,3,2011.2012
62587,3,3,3,4,2011.2012
62588,2,3,1,4,2011.2012
62589,7,7,7,4,2011.2012
62590,7,7,7,4,2011.2012
62591,8,14,14,3,2011.2012
62593,7,7,7,5,2011.2012
62595,11,14,14,3,2011.2012
62596,5,5,5,4,2011.2012
62597,6,6,6,2,2011.2012
62598,4,14,4,3,2011.2012
62599,4,5,5,4,2011.2012
62600,9,14,14,5,2011.2012
62601,11,14,14,5,2011.2012
62602,8,8,8,4,2011.2012
62603,6,6,6,2,2011.2012
62604,6,4,4,3,2011.2012
62605,4,4,4,3,2011.2012
62606,6,6,6,2,2011.2012
