SEQN,Monthly family income,Total household income,Total family income,education level,Year
73933,4,4,4,4,2013.2014
73934,7,8,8,4,2013.2014
73936,1,15,15,5,2013.2014
73937,8,5,5,2,2013.2014
73938,12,15,15,4,2013.2014
73939,1,1,1,3,2013.2014
73941,6,8,8,3,2013.2014
73943,8,9,9,3,2013.2014
73945,1,5,5,4,2013.2014
73946,6,5,5,4,2013.2014
73947,6,5,5,2,2013.2014
73948,6,6,6,4,2013.2014
73949,3,5,5,3,2013.2014
73951,7,9,9,2,2013.2014
73952,1,1,1,4,2013.2014
73955,12,15,15,4,2013.2014
73956,7,9,9,2,2013.2014
73958,8,9,9,5,2013.2014
73959,7,9,9,3,2013.2014
73960,12,15,15,5,2013.2014
73961,6,6,6,1,2013.2014
73962,7,9,9,3,2013.2014
73963,7,14,14,3,2013.2014
73964,9,9,9,5,2013.2014
73966,5,5,5,2,2013.2014
73967,12,15,15,5,2013.2014
73968,11,15,15,4,2013.2014
73970,5,4,4,3,2013.2014
73971,11,14,14,4,2013.2014
73972,6,6,6,3,2013.2014
73973,8,8,8,4,2013.2014
73974,12,14,14,3,2013.2014
73975,3,4,4,4,2013.2014
73976,1,14,1,5,2013.2014
73977,8,15,15,5,2013.2014
73978,11,15,15,5,2013.2014
73981,8,7,7,5,2013.2014
73982,5,2,2,4,2013.2014
73983,1,1,1,3,2013.2014
73984,6,7,7,4,2013.2014
73985,7,9,9,2,2013.2014
73986,9,6,6,3,2013.2014
73987,4,4,4,4,2013.2014
73988,12,15,15,5,2013.2014
73990,12,15,15,5,2013.2014
73991,3,4,4,3,2013.2014
73992,3,99,3,4,2013.2014
73993,2,3,3,4,2013.2014
73994,10,10,10,3,2013.2014
73995,10,9,9,5,2013.2014
73996,3,6,6,3,2013.2014
73997,9,14,14,4,2013.2014
73998,6,7,7,3,2013.2014
73999,12,15,15,5,2013.2014
74000,5,7,7,2,2013.2014
74001,4,5,5,4,2013.2014
74002,11,14,14,5,2013.2014
74003,2,4,4,3,2013.2014
74004,8,9,9,5,2013.2014
74005,1,3,3,4,2013.2014
74006,5,6,6,2,2013.2014
74007,7,7,7,4,2013.2014
74008,6,8,8,4,2013.2014
74009,12,15,15,4,2013.2014
74010,6,8,8,3,2013.2014
74011,12,15,15,5,2013.2014
74012,5,7,7,3,2013.2014
74013,10,15,15,3,2013.2014
74016,10,14,14,5,2013.2014
74017,11,15,15,3,2013.2014
74018,1,2,2,4,2013.2014
74019,7,1,1,2,2013.2014
74020,12,15,15,5,2013.2014
74021,5,6,6,3,2013.2014
74022,2,3,3,1,2013.2014
74023,8,9,9,5,2013.2014
74024,2,1,1,3,2013.2014
74025,5,8,6,5,2013.2014
74027,10,10,10,2,2013.2014
74028,6,6,6,3,2013.2014
74029,10,7,7,4,2013.2014
74031,7,8,8,4,2013.2014
74032,12,15,15,5,2013.2014
74033,10,10,10,5,2013.2014
74035,5,3,3,3,2013.2014
74037,8,5,5,2,2013.2014
74038,1,1,1,2,2013.2014
74039,5,6,6,4,2013.2014
74040,6,4,4,3,2013.2014
74043,3,2,2,1,2013.2014
74044,2,3,3,3,2013.2014
74045,6,8,8,1,2013.2014
74046,12,15,15,5,2013.2014
74048,6,6,6,3,2013.2014
74049,10,7,7,5,2013.2014
74050,9,6,6,4,2013.2014
74051,12,15,15,4,2013.2014
74052,3,1,1,3,2013.2014
74053,7,7,7,4,2013.2014
74054,9,10,10,3,2013.2014
74055,3,8,8,4,2013.2014
74057,7,6,6,2,2013.2014
74058,6,6,6,2,2013.2014
74059,12,15,15,5,2013.2014
74060,11,14,14,4,2013.2014
74061,5,5,5,2,2013.2014
74062,6,4,4,4,2013.2014
74063,12,15,15,5,2013.2014
74064,2,4,4,1,2013.2014
74065,6,8,8,5,2013.2014
74066,1,4,4,3,2013.2014
74067,7,7,7,5,2013.2014
74068,1,1,1,5,2013.2014
74070,12,15,15,5,2013.2014
74071,12,15,15,5,2013.2014
74072,3,4,4,4,2013.2014
74074,4,4,4,3,2013.2014
74075,4,2,2,2,2013.2014
74076,12,15,15,4,2013.2014
74078,9,14,14,4,2013.2014
74079,3,5,5,3,2013.2014
74080,9,14,14,5,2013.2014
74081,5,5,5,3,2013.2014
74082,3,3,3,3,2013.2014
74083,6,6,6,4,2013.2014
74084,5,5,5,4,2013.2014
74085,4,4,4,4,2013.2014
74086,12,15,15,4,2013.2014
74087,10,15,15,1,2013.2014
74088,6,5,5,3,2013.2014
74089,4,5,5,3,2013.2014
74090,4,6,6,5,2013.2014
74091,8,10,10,3,2013.2014
74092,12,15,15,3,2013.2014
74093,10,15,15,1,2013.2014
74094,5,6,6,4,2013.2014
74095,12,15,15,5,2013.2014
74096,2,2,2,2,2013.2014
74097,12,15,15,4,2013.2014
74099,4,5,5,3,2013.2014
74100,4,4,4,1,2013.2014
74101,2,5,2,3,2013.2014
74102,2,7,7,4,2013.2014
74103,6,5,5,2,2013.2014
74104,10,15,15,4,2013.2014
74106,5,9,9,4,2013.2014
74107,4,4,4,3,2013.2014
74108,11,14,14,4,2013.2014
74109,7,7,7,3,2013.2014
74110,6,6,6,3,2013.2014
74111,11,15,15,5,2013.2014
74112,4,4,4,4,2013.2014
74113,5,5,5,5,2013.2014
74114,7,6,6,2,2013.2014
74115,5,4,4,1,2013.2014
74116,7,8,8,4,2013.2014
74117,12,14,9,4,2013.2014
74118,7,14,14,3,2013.2014
74119,5,7,7,1,2013.2014
74120,5,5,5,4,2013.2014
74121,12,15,15,5,2013.2014
74122,5,6,6,4,2013.2014
74123,2,3,3,4,2013.2014
74124,4,5,5,4,2013.2014
74126,8,8,8,4,2013.2014
74127,3,5,5,1,2013.2014
74128,5,7,7,3,2013.2014
74129,8,8,8,1,2013.2014
74130,9,9,9,4,2013.2014
74131,7,10,10,5,2013.2014
74132,9,10,10,2,2013.2014
74133,7,6,6,1,2013.2014
74134,9,9,9,5,2013.2014
74137,8,8,8,1,2013.2014
74138,6,6,6,4,2013.2014
74139,6,1,1,4,2013.2014
74140,3,3,3,4,2013.2014
74141,7,9,9,5,2013.2014
74143,12,15,15,5,2013.2014
74144,12,14,14,1,2013.2014
74145,7,7,7,4,2013.2014
74146,6,2,2,1,2013.2014
74147,4,4,4,3,2013.2014
74148,5,5,5,4,2013.2014
74149,2,2,2,2,2013.2014
74151,2,2,2,3,2013.2014
74152,3,2,2,2,2013.2014
74154,7,8,8,4,2013.2014
74155,3,4,4,2,2013.2014
74156,7,7,7,3,2013.2014
74157,12,15,15,4,2013.2014
74158,3,6,6,3,2013.2014
74159,6,15,10,5,2013.2014
74160,7,14,14,3,2013.2014
74161,5,6,6,4,2013.2014
74163,9,14,14,4,2013.2014
74164,9,6,6,1,2013.2014
74165,8,8,8,1,2013.2014
74166,2,2,2,5,2013.2014
74170,11,15,15,5,2013.2014
74171,9,9,9,4,2013.2014
74172,7,6,6,5,2013.2014
74173,5,5,5,5,2013.2014
74174,12,15,15,5,2013.2014
74175,3,2,2,4,2013.2014
74176,3,4,4,4,2013.2014
74178,11,15,15,5,2013.2014
74179,12,15,15,5,2013.2014
74180,11,9,9,5,2013.2014
74181,8,6,6,4,2013.2014
74183,12,15,15,5,2013.2014
74185,12,15,15,4,2013.2014
74186,4,7,7,2,2013.2014
74190,5,8,8,4,2013.2014
74191,4,1,1,4,2013.2014
74193,3,3,3,3,2013.2014
74194,3,4,4,2,2013.2014
74195,5,5,5,3,2013.2014
74196,12,15,15,4,2013.2014
74197,4,4,4,3,2013.2014
74198,8,7,7,3,2013.2014
74199,1,1,1,4,2013.2014
74200,6,6,6,4,2013.2014
74201,3,3,3,4,2013.2014
74202,9,14,14,4,2013.2014
74203,5,5,5,4,2013.2014
74204,3,4,4,2,2013.2014
74205,12,15,15,5,2013.2014
74206,11,14,14,5,2013.2014
74207,6,9,9,4,2013.2014
74208,5,6,6,3,2013.2014
74209,5,6,6,3,2013.2014
74211,4,4,4,1,2013.2014
74212,9,9,9,3,2013.2014
74213,5,5,5,2,2013.2014
74214,12,15,15,5,2013.2014
74215,12,15,15,5,2013.2014
74216,3,3,3,4,2013.2014
74217,2,5,5,4,2013.2014
74218,7,7,7,2,2013.2014
74219,6,15,15,5,2013.2014
74220,4,4,4,3,2013.2014
74222,2,5,4,2,2013.2014
74223,7,7,7,5,2013.2014
74224,5,5,5,3,2013.2014
74225,3,5,5,3,2013.2014
74226,1,1,1,4,2013.2014
74227,3,3,3,3,2013.2014
74228,4,4,4,3,2013.2014
74229,10,14,14,4,2013.2014
74230,8,9,9,1,2013.2014
74231,5,6,6,2,2013.2014
74233,4,5,2,4,2013.2014
74235,4,8,4,4,2013.2014
74236,3,6,6,4,2013.2014
74237,8,15,14,5,2013.2014
74238,12,8,8,5,2013.2014
74239,11,15,15,5,2013.2014
74240,8,8,8,5,2013.2014
74241,6,8,8,4,2013.2014
74242,6,6,6,2,2013.2014
74243,7,8,8,4,2013.2014
74244,4,7,7,3,2013.2014
74245,8,7,7,1,2013.2014
74246,3,3,3,5,2013.2014
74247,8,14,14,3,2013.2014
74248,8,8,8,3,2013.2014
74249,11,15,15,5,2013.2014
74250,3,1,1,3,2013.2014
74251,3,5,5,2,2013.2014
74252,7,8,8,4,2013.2014
74253,7,6,6,3,2013.2014
74254,11,15,15,5,2013.2014
74255,12,14,14,5,2013.2014
74256,1,1,1,3,2013.2014
74258,11,14,14,4,2013.2014
74259,6,7,7,4,2013.2014
74260,3,3,3,4,2013.2014
74261,3,4,4,2,2013.2014
74262,2,2,2,3,2013.2014
74263,8,7,7,5,2013.2014
74264,4,5,5,2,2013.2014
74265,6,3,3,4,2013.2014
74266,3,4,4,4,2013.2014
74267,4,4,4,2,2013.2014
74268,2,2,2,4,2013.2014
74269,12,15,15,5,2013.2014
74270,11,15,15,5,2013.2014
74271,7,6,6,3,2013.2014
74273,9,14,14,4,2013.2014
74274,8,8,8,3,2013.2014
74276,2,4,4,3,2013.2014
74277,11,14,14,1,2013.2014
74278,12,15,15,5,2013.2014
74279,3,6,3,4,2013.2014
74281,9,10,10,5,2013.2014
74282,7,6,6,4,2013.2014
74283,6,8,8,1,2013.2014
74285,11,15,15,5,2013.2014
74286,4,4,4,2,2013.2014
74287,9,9,9,3,2013.2014
74288,7,7,7,3,2013.2014
74290,11,10,10,5,2013.2014
74291,7,9,9,4,2013.2014
74292,4,3,3,3,2013.2014
74293,9,9,9,5,2013.2014
74294,3,4,4,3,2013.2014
74295,10,7,7,5,2013.2014
74296,12,15,15,4,2013.2014
74298,6,6,6,3,2013.2014
74300,11,15,15,5,2013.2014
74301,11,15,15,5,2013.2014
74302,8,14,7,4,2013.2014
74303,8,8,8,1,2013.2014
74304,3,3,3,4,2013.2014
74305,8,6,6,4,2013.2014
74306,3,6,6,5,2013.2014
74307,7,7,7,4,2013.2014
74308,6,6,4,4,2013.2014
74309,1,6,6,1,2013.2014
74310,11,14,14,3,2013.2014
74311,4,14,6,3,2013.2014
74312,5,3,3,5,2013.2014
74313,3,4,4,3,2013.2014
74314,12,15,15,5,2013.2014
74315,2,3,3,3,2013.2014
74316,2,2,2,3,2013.2014
74317,11,10,10,5,2013.2014
74319,2,2,2,5,2013.2014
74320,3,2,2,3,2013.2014
74321,5,2,2,4,2013.2014
74322,4,14,6,3,2013.2014
74323,11,14,14,3,2013.2014
74324,9,6,6,4,2013.2014
74326,3,5,5,4,2013.2014
74327,7,7,7,4,2013.2014
74328,9,9,9,1,2013.2014
74330,11,14,14,3,2013.2014
74331,6,6,6,3,2013.2014
74332,7,7,7,4,2013.2014
74333,3,4,4,3,2013.2014
74334,12,15,15,5,2013.2014
74335,3,4,4,3,2013.2014
74336,6,6,6,1,2013.2014
74338,10,9,9,5,2013.2014
74340,12,15,15,5,2013.2014
74341,8,9,9,4,2013.2014
74342,2,3,3,2,2013.2014
74343,3,3,3,2,2013.2014
74345,11,14,14,4,2013.2014
74346,7,9,9,5,2013.2014
74347,12,15,15,5,2013.2014
74348,10,10,10,5,2013.2014
74349,12,15,15,4,2013.2014
74351,7,8,8,4,2013.2014
74352,10,15,15,3,2013.2014
74353,6,4,4,2,2013.2014
74356,11,10,10,5,2013.2014
74357,3,3,3,3,2013.2014
74358,8,5,5,2,2013.2014
74359,9,10,10,5,2013.2014
74360,2,7,7,4,2013.2014
74361,6,3,3,4,2013.2014
74362,5,6,6,4,2013.2014
74363,10,9,9,4,2013.2014
74364,5,8,8,1,2013.2014
74365,5,5,5,2,2013.2014
74366,7,9,9,4,2013.2014
74368,7,9,9,3,2013.2014
74369,6,5,3,3,2013.2014
74371,6,8,8,4,2013.2014
74372,11,14,14,4,2013.2014
74374,8,8,8,5,2013.2014
74375,1,1,1,3,2013.2014
74376,3,3,3,3,2013.2014
74377,2,2,2,4,2013.2014
74378,8,6,6,1,2013.2014
74379,7,8,8,5,2013.2014
74380,1,8,8,3,2013.2014
74381,9,10,10,2,2013.2014
74382,7,7,7,4,2013.2014
74383,11,15,15,2,2013.2014
74384,8,6,6,2,2013.2014
74386,10,7,7,5,2013.2014
74387,7,6,6,3,2013.2014
74388,9,10,10,4,2013.2014
74389,3,2,2,2,2013.2014
74390,8,7,7,4,2013.2014
74393,3,6,3,5,2013.2014
74394,12,8,8,3,2013.2014
74395,8,5,5,4,2013.2014
74396,9,15,15,5,2013.2014
74397,6,5,5,2,2013.2014
74398,4,8,4,3,2013.2014
74399,6,6,6,4,2013.2014
74400,12,15,15,5,2013.2014
74401,10,5,5,3,2013.2014
74402,5,9,5,2,2013.2014
74403,6,6,6,4,2013.2014
74405,3,4,4,4,2013.2014
74407,7,6,6,3,2013.2014
74408,8,3,3,3,2013.2014
74410,7,7,7,4,2013.2014
74411,8,10,9,4,2013.2014
74412,8,8,8,4,2013.2014
74413,5,6,6,3,2013.2014
74415,5,8,8,3,2013.2014
74416,12,8,8,5,2013.2014
74417,7,6,6,4,2013.2014
74418,7,7,7,3,2013.2014
74420,10,14,14,5,2013.2014
74421,1,3,3,4,2013.2014
74422,1,2,2,4,2013.2014
74424,11,14,14,5,2013.2014
74425,6,8,8,3,2013.2014
74426,12,15,15,3,2013.2014
74427,6,5,5,2,2013.2014
74429,9,10,10,5,2013.2014
74430,1,6,1,4,2013.2014
74431,11,15,15,5,2013.2014
74433,9,15,15,5,2013.2014
74434,3,4,4,2,2013.2014
74435,6,8,8,4,2013.2014
74436,7,14,14,3,2013.2014
74437,6,7,7,2,2013.2014
74440,10,14,14,5,2013.2014
74441,4,4,4,4,2013.2014
74443,8,8,8,4,2013.2014
74444,9,9,9,4,2013.2014
74445,10,14,14,4,2013.2014
74446,12,3,3,5,2013.2014
74448,11,15,15,5,2013.2014
74449,10,15,15,5,2013.2014
74450,6,6,6,1,2013.2014
74451,4,4,4,3,2013.2014
74452,9,14,14,3,2013.2014
74454,11,15,15,5,2013.2014
74455,6,6,6,4,2013.2014
74456,7,6,6,3,2013.2014
74457,12,15,15,5,2013.2014
74458,7,8,8,2,2013.2014
74459,1,1,1,3,2013.2014
74460,11,15,15,4,2013.2014
74461,5,4,4,4,2013.2014
74462,6,7,7,5,2013.2014
74463,11,14,14,4,2013.2014
74464,1,1,1,3,2013.2014
74465,4,5,5,1,2013.2014
74466,7,7,7,2,2013.2014
74467,10,14,14,5,2013.2014
74468,8,6,6,3,2013.2014
74469,3,4,4,4,2013.2014
74470,1,1,1,1,2013.2014
74471,7,7,7,3,2013.2014
74473,4,4,4,4,2013.2014
74474,7,8,8,3,2013.2014
74476,7,8,8,3,2013.2014
74477,2,2,2,2,2013.2014
74478,8,7,7,4,2013.2014
74479,9,10,10,2,2013.2014
74480,4,6,6,2,2013.2014
74482,5,6,6,1,2013.2014
74483,6,6,6,2,2013.2014
74484,11,15,15,5,2013.2014
74485,10,8,8,5,2013.2014
74486,10,8,8,2,2013.2014
74487,7,8,8,2,2013.2014
74488,12,15,15,3,2013.2014
74489,12,15,15,3,2013.2014
74490,9,14,14,4,2013.2014
74492,8,9,9,3,2013.2014
74493,6,8,8,2,2013.2014
74494,7,14,14,4,2013.2014
74495,7,9,9,4,2013.2014
74496,5,6,6,4,2013.2014
74497,5,2,2,1,2013.2014
74498,7,8,8,3,2013.2014
74499,3,3,3,3,2013.2014
74500,3,3,3,2,2013.2014
74501,6,6,6,4,2013.2014
74502,3,2,2,1,2013.2014
74503,6,6,6,2,2013.2014
74504,5,5,5,5,2013.2014
74505,11,15,15,4,2013.2014
74506,8,6,6,3,2013.2014
74507,5,5,5,2,2013.2014
74508,12,15,15,5,2013.2014
74509,5,6,6,1,2013.2014
74510,12,15,15,5,2013.2014
74511,11,15,15,5,2013.2014
74512,5,7,7,2,2013.2014
74516,6,6,6,2,2013.2014
74517,6,3,3,4,2013.2014
74519,2,2,2,4,2013.2014
74520,7,6,6,4,2013.2014
74521,2,1,1,4,2013.2014
74522,6,3,3,4,2013.2014
74523,9,15,15,4,2013.2014
74524,3,4,4,2,2013.2014
74525,4,4,4,5,2013.2014
74526,9,9,9,3,2013.2014
74529,5,6,6,1,2013.2014
74530,7,5,5,3,2013.2014
74531,3,4,4,2,2013.2014
74532,4,4,4,2,2013.2014
74534,6,6,6,3,2013.2014
74536,7,6,6,4,2013.2014
74537,3,3,3,3,2013.2014
74538,8,15,15,2,2013.2014
74539,9,10,10,3,2013.2014
74540,10,15,15,3,2013.2014
74541,3,4,4,2,2013.2014
74542,2,1,1,3,2013.2014
74543,8,9,9,4,2013.2014
74544,3,5,5,4,2013.2014
74545,6,6,6,3,2013.2014
74546,6,6,6,1,2013.2014
74547,5,6,6,4,2013.2014
74548,2,4,4,4,2013.2014
74549,9,10,10,4,2013.2014
74550,6,12,6,2,2013.2014
74552,3,5,5,2,2013.2014
74553,4,4,4,1,2013.2014
74554,4,6,6,4,2013.2014
74556,1,2,2,4,2013.2014
74557,6,6,6,5,2013.2014
74558,6,5,5,4,2013.2014
74559,11,10,10,3,2013.2014
74560,4,4,4,3,2013.2014
74561,7,6,6,4,2013.2014
74562,8,10,10,4,2013.2014
74563,6,6,6,4,2013.2014
74564,6,6,6,2,2013.2014
74566,2,13,3,4,2013.2014
74567,6,14,14,3,2013.2014
74569,7,7,7,4,2013.2014
74570,7,8,8,4,2013.2014
74571,12,15,15,4,2013.2014
74572,3,7,7,3,2013.2014
74573,3,1,1,2,2013.2014
74574,5,5,5,3,2013.2014
74575,8,8,8,4,2013.2014
74576,6,6,6,1,2013.2014
74577,8,8,8,2,2013.2014
74578,7,8,8,5,2013.2014
74579,3,3,3,3,2013.2014
74580,2,5,5,4,2013.2014
74581,4,4,4,2,2013.2014
74582,7,6,6,4,2013.2014
74583,4,4,4,4,2013.2014
74584,6,8,8,4,2013.2014
74586,8,6,6,2,2013.2014
74587,3,14,14,5,2013.2014
74588,4,7,7,3,2013.2014
74589,3,5,5,2,2013.2014
74591,5,5,5,4,2013.2014
74592,1,5,5,3,2013.2014
74594,7,8,8,5,2013.2014
74595,7,5,5,2,2013.2014
74596,3,5,5,3,2013.2014
74598,9,14,14,2,2013.2014
74599,12,15,15,3,2013.2014
74600,11,15,15,3,2013.2014
74601,3,5,5,4,2013.2014
74602,10,10,10,5,2013.2014
74605,12,15,15,5,2013.2014
74608,11,14,14,4,2013.2014
74609,10,14,14,4,2013.2014
74611,9,9,9,4,2013.2014
74613,3,4,4,4,2013.2014
74614,7,7,7,2,2013.2014
74615,6,6,6,4,2013.2014
74616,6,7,7,1,2013.2014
74617,3,5,5,2,2013.2014
74619,7,8,8,3,2013.2014
74620,3,6,6,3,2013.2014
74621,5,7,7,3,2013.2014
74623,6,6,6,3,2013.2014
74624,1,3,3,3,2013.2014
74627,11,14,14,5,2013.2014
74630,1,1,1,3,2013.2014
74631,4,5,5,2,2013.2014
74632,12,15,15,5,2013.2014
74633,9,9,9,4,2013.2014
74635,3,2,2,3,2013.2014
74636,12,15,15,5,2013.2014
74637,6,8,8,4,2013.2014
74638,10,14,14,2,2013.2014
74639,3,3,3,4,2013.2014
74640,9,9,9,4,2013.2014
74641,10,15,14,3,2013.2014
74642,7,6,6,3,2013.2014
74645,9,9,9,4,2013.2014
74646,1,5,2,2,2013.2014
74648,4,4,3,3,2013.2014
74649,12,15,15,4,2013.2014
74650,5,6,6,4,2013.2014
74651,2,2,2,4,2013.2014
74652,7,6,6,3,2013.2014
74653,2,4,4,4,2013.2014
74654,2,4,4,4,2013.2014
74655,8,15,14,5,2013.2014
74656,12,15,15,5,2013.2014
74657,8,8,8,4,2013.2014
74659,4,5,5,2,2013.2014
74660,4,4,4,4,2013.2014
74661,4,4,4,3,2013.2014
74662,4,5,5,2,2013.2014
74663,6,6,6,5,2013.2014
74665,7,6,6,4,2013.2014
74666,7,7,7,1,2013.2014
74667,8,14,14,4,2013.2014
74668,5,5,5,2,2013.2014
74669,11,15,15,2,2013.2014
74670,4,4,4,5,2013.2014
74671,8,8,8,4,2013.2014
74672,5,6,6,1,2013.2014
74673,6,5,5,3,2013.2014
74674,3,4,4,1,2013.2014
74675,12,15,15,3,2013.2014
74676,12,15,15,5,2013.2014
74677,11,15,15,4,2013.2014
74678,4,4,4,3,2013.2014
74680,7,6,6,2,2013.2014
74681,4,5,5,4,2013.2014
74682,7,6,6,3,2013.2014
74683,6,15,8,5,2013.2014
74685,3,3,3,1,2013.2014
74686,9,10,10,2,2013.2014
74687,12,15,15,5,2013.2014
74688,4,4,4,3,2013.2014
74690,4,4,4,4,2013.2014
74691,12,15,15,5,2013.2014
74692,3,9,2,3,2013.2014
74695,3,3,3,2,2013.2014
74696,9,7,7,4,2013.2014
74697,3,5,5,3,2013.2014
74698,9,10,10,4,2013.2014
74699,10,9,9,3,2013.2014
74700,11,14,14,5,2013.2014
74701,5,15,15,2,2013.2014
74702,11,14,14,5,2013.2014
74703,4,6,6,2,2013.2014
74704,4,4,4,3,2013.2014
74705,12,15,15,5,2013.2014
74706,4,3,3,3,2013.2014
74707,7,7,7,4,2013.2014
74708,11,15,15,1,2013.2014
74709,1,1,1,3,2013.2014
74710,3,5,5,3,2013.2014
74711,4,4,4,3,2013.2014
74713,2,3,3,2,2013.2014
74714,3,3,3,2,2013.2014
74715,9,9,9,4,2013.2014
74716,7,3,3,2,2013.2014
74718,8,15,15,4,2013.2014
74719,8,10,10,5,2013.2014
74720,12,15,15,4,2013.2014
74721,7,10,10,5,2013.2014
74722,6,6,6,3,2013.2014
74723,9,9,9,3,2013.2014
74724,4,4,4,1,2013.2014
74725,7,7,7,4,2013.2014
74726,1,8,1,4,2013.2014
74727,1,1,1,2,2013.2014
74728,6,8,8,2,2013.2014
74731,8,2,2,4,2013.2014
74732,10,10,10,5,2013.2014
74733,12,15,15,5,2013.2014
74734,7,7,7,3,2013.2014
74735,3,8,8,3,2013.2014
74736,4,4,4,3,2013.2014
74737,7,8,8,4,2013.2014
74738,12,15,15,3,2013.2014
74739,9,14,14,3,2013.2014
74740,12,15,15,5,2013.2014
74741,11,15,15,4,2013.2014
74742,9,7,7,3,2013.2014
74743,8,8,8,4,2013.2014
74744,7,8,8,4,2013.2014
74745,7,7,7,2,2013.2014
74746,6,4,4,3,2013.2014
74747,4,6,4,2,2013.2014
74749,10,15,15,5,2013.2014
74750,12,15,15,5,2013.2014
74751,6,6,6,4,2013.2014
74752,4,4,4,3,2013.2014
74753,1,3,3,3,2013.2014
74754,10,14,14,3,2013.2014
74755,8,14,14,5,2013.2014
74756,4,5,5,4,2013.2014
74757,11,14,14,4,2013.2014
74758,6,6,6,5,2013.2014
74759,4,6,6,3,2013.2014
74760,4,3,3,1,2013.2014
74761,2,2,2,3,2013.2014
74762,10,14,14,3,2013.2014
74763,6,7,7,4,2013.2014
74764,5,5,5,2,2013.2014
74765,7,8,8,2,2013.2014
74766,3,3,1,5,2013.2014
74767,12,15,15,5,2013.2014
74769,12,15,15,5,2013.2014
74770,10,14,14,4,2013.2014
74771,6,6,6,2,2013.2014
74773,3,5,5,2,2013.2014
74774,3,3,3,2,2013.2014
74776,8,8,8,5,2013.2014
74778,7,9,9,3,2013.2014
74780,8,7,7,4,2013.2014
74781,7,10,10,4,2013.2014
74782,8,14,14,3,2013.2014
74783,2,3,3,4,2013.2014
74784,9,10,10,1,2013.2014
74785,12,15,15,5,2013.2014
74786,2,2,2,2,2013.2014
74787,5,5,5,3,2013.2014
74788,7,7,7,2,2013.2014
74789,6,7,7,1,2013.2014
74792,5,4,4,3,2013.2014
74793,6,7,7,4,2013.2014
74794,12,15,15,5,2013.2014
74795,8,8,8,1,2013.2014
74796,3,4,4,4,2013.2014
74797,6,15,8,3,2013.2014
74798,6,6,6,2,2013.2014
74799,10,14,14,4,2013.2014
74800,4,6,6,2,2013.2014
74801,5,6,6,5,2013.2014
74803,5,2,2,4,2013.2014
74805,9,14,10,1,2013.2014
74806,11,14,14,4,2013.2014
74810,2,2,2,3,2013.2014
74811,5,9,9,5,2013.2014
74812,2,2,2,4,2013.2014
74813,5,6,6,4,2013.2014
74814,3,3,3,3,2013.2014
74815,10,5,5,3,2013.2014
74816,2,2,2,4,2013.2014
74817,11,14,14,5,2013.2014
74818,12,15,15,5,2013.2014
74819,8,9,9,4,2013.2014
74820,3,5,5,3,2013.2014
74822,9,15,9,2,2013.2014
74825,8,8,8,1,2013.2014
74826,12,15,15,5,2013.2014
74828,12,15,15,5,2013.2014
74830,7,6,6,5,2013.2014
74831,12,15,15,5,2013.2014
74832,11,14,9,3,2013.2014
74833,12,15,15,4,2013.2014
74835,10,10,10,3,2013.2014
74837,3,3,3,4,2013.2014
74838,8,14,14,5,2013.2014
74839,12,15,15,5,2013.2014
74840,5,6,6,1,2013.2014
74842,9,10,10,4,2013.2014
74843,3,2,2,1,2013.2014
74844,6,5,5,5,2013.2014
74845,9,10,10,5,2013.2014
74846,4,4,4,2,2013.2014
74847,9,15,15,5,2013.2014
74850,3,1,1,1,2013.2014
74851,4,99,4,4,2013.2014
74852,6,6,6,4,2013.2014
74853,11,14,14,5,2013.2014
74854,4,5,5,3,2013.2014
74856,4,4,4,3,2013.2014
74857,6,7,7,5,2013.2014
74858,11,14,14,5,2013.2014
74859,6,6,6,3,2013.2014
74860,8,10,10,4,2013.2014
74861,2,2,2,3,2013.2014
74862,5,7,7,2,2013.2014
74863,11,15,15,5,2013.2014
74864,5,6,6,2,2013.2014
74866,5,7,7,4,2013.2014
74867,11,14,14,3,2013.2014
74868,4,5,5,1,2013.2014
74869,5,6,6,2,2013.2014
74870,7,5,5,5,2013.2014
74872,1,15,9,4,2013.2014
74873,2,1,1,4,2013.2014
74874,11,15,15,5,2013.2014
74875,6,8,8,4,2013.2014
74876,7,7,7,4,2013.2014
74878,9,14,14,5,2013.2014
74879,12,15,15,5,2013.2014
74880,4,4,4,3,2013.2014
74881,6,6,6,2,2013.2014
74883,9,14,14,4,2013.2014
74885,2,3,3,4,2013.2014
74886,7,6,6,2,2013.2014
74887,7,8,8,4,2013.2014
74888,3,3,3,1,2013.2014
74889,9,7,7,2,2013.2014
74890,2,3,2,3,2013.2014
74891,3,10,10,3,2013.2014
74893,12,15,15,5,2013.2014
74894,11,15,15,3,2013.2014
74895,1,10,1,4,2013.2014
74896,8,7,7,4,2013.2014
74897,5,5,5,1,2013.2014
74898,8,8,8,1,2013.2014
74900,4,6,6,4,2013.2014
74901,5,6,6,3,2013.2014
74902,3,8,4,4,2013.2014
74904,6,4,4,3,2013.2014
74905,12,15,15,5,2013.2014
74909,7,8,8,2,2013.2014
74910,2,2,2,3,2013.2014
74913,8,9,9,5,2013.2014
74915,12,15,15,5,2013.2014
74916,1,3,3,4,2013.2014
74917,5,7,7,4,2013.2014
74918,8,7,7,4,2013.2014
74919,10,8,8,4,2013.2014
74920,4,6,6,4,2013.2014
74922,5,6,6,2,2013.2014
74923,5,5,5,1,2013.2014
74924,4,6,6,2,2013.2014
