SEQN,Income from wages/salaries,Income from self employment,Income from Social Security or RR,Income from other disability pension,Income from retirement/survivor pension,Income from Supplemental Security,Income from state/county cash assistance,Income from interest/dividends or rental,Income from other sources,Monthly family income,Family monthly poverty level index,Family monthly poverty level category,Gender,Total household income,Total family income,A ratio of family income to poverty guidelines,In what country were you born?,Age,person's education level,Year
74725,1,2,2,2,2,2,2,2,2,7,1.14,1,2,7,7,1.14,1,37,4,2013.2014
74726,1,2,2,2,2,2,2,2,2,1,0,1,2,8,1,0,1,44,4,2013.2014
74727,2,2,2,2,2,2,1,2,1,1,0,1,2,1,1,0.09,1,24,2,2013.2014
74728,1,2,2,2,2,2,2,2,2,6,1.27,1,1,8,8,1.91,2,38,2,2013.2014
74731,1,1,2,2,2,2,2,2,1,8,1.6,2,2,2,2,0.28,2,36,4,2013.2014
74732,1,1,1,2,2,2,2,1,2,10,4.58,3,2,10,10,4.13,1,68,5,2013.2014
74733,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,53,5,2013.2014
74734,1,2,1,1,2,2,2,2,2,7,1.51,2,2,7,7,1.68,1,57,3,2013.2014
74735,1,2,2,1,2,2,2,2,2,3,0.51,1,2,8,8,2.04,1,28,3,2013.2014
74736,1,2,2,2,2,2,2,2,2,4,0.81,1,1,4,4,0.75,1,23,3,2013.2014
74737,1,2,1,2,1,2,2,1,2,7,2.67,3,2,8,8,3.37,1,66,4,2013.2014
74738,1,2,2,2,2,2,2,2,2,12,3.03,3,1,15,15,2.81,1,42,3,2013.2014
74739,1,2,2,2,2,2,2,2,2,9,2.55,3,1,14,14,3.91,1,40,3,2013.2014
74740,1,2,2,2,2,2,2,2,2,12,4.84,3,2,15,15,4.67,1,33,5,2013.2014
74741,1,2,2,2,2,2,2,2,2,11,4.92,3,1,15,15,5,1,61,4,2013.2014
74742,2,2,1,2,1,2,2,1,2,9,5,3,2,7,7,3.6,1,73,3,2013.2014
74743,1,2,2,2,2,2,2,2,2,8,1.52,2,1,8,8,1.58,2,41,4,2013.2014
74744,1,2,2,2,2,2,2,2,2,7,1.58,2,1,8,8,2.25,1,46,4,2013.2014
74745,1,2,2,2,2,2,2,2,1,7,2.21,3,2,7,7,2.23,1,33,2,2013.2014
74746,2,2,1,2,2,2,2,2,2,6,1.27,1,1,4,4,0.72,1,55,3,2013.2014
74747,2,1,2,2,2,2,2,2,2,4,0.92,1,2,6,4,0.87,2,64,2,2013.2014
74749,1,1,2,2,2,2,2,2,2,10,2.61,3,2,15,15,3.81,1,46,5,2013.2014
74750,1,2,2,2,2,2,2,2,2,12,5,3,2,15,15,5,1,41,5,2013.2014
74751,1,2,2,1,2,2,2,2,2,6,1.54,2,2,6,6,1.64,1,53,4,2013.2014
74752,1,2,2,2,2,2,2,2,2,4,0.8,1,2,4,4,0.92,1,37,3,2013.2014
74753,1,2,2,2,2,2,2,2,2,1,0,1,1,3,3,0.31,1,37,3,2013.2014
74754,1,1,2,2,2,2,2,2,2,10,3.34,3,1,14,14,3.79,1,36,3,2013.2014
74755,1,2,2,2,2,2,2,1,2,8,2.67,3,1,14,14,4.55,1,40,5,2013.2014
74756,1,2,2,2,2,2,2,2,2,4,0.91,1,2,5,5,1.06,2,29,4,2013.2014
74757,1,2,2,2,2,2,2,1,2,11,2.81,3,1,14,14,2.81,1,37,4,2013.2014
74758,1,2,2,2,2,2,2,2,2,6,1.11,1,1,6,6,1.05,2,30,5,2013.2014
74759,1,1,2,2,2,2,2,2,1,4,0.69,1,1,6,6,1.12,1,35,3,2013.2014
74760,1,2,2,2,2,1,2,2,2,4,0.65,1,1,3,3,0.45,2,53,1,2013.2014
74761,2,2,1,1,2,2,1,2,2,2,0.56,1,1,2,2,0.39,1,31,3,2013.2014
74762,1,2,2,2,2,2,2,2,2,10,2.58,3,1,14,14,2.69,1,38,3,2013.2014
74763,1,1,2,2,2,2,1,2,2,6,1.09,1,1,7,7,1.27,1,74,4,2013.2014
74764,2,2,1,2,2,2,1,2,2,5,0.43,1,1,5,5,0.43,1,60,2,2013.2014
74765,1,2,2,2,2,2,2,2,2,7,2.29,3,2,8,8,3.05,1,45,2,2013.2014
74766,1,2,2,2,2,2,2,2,2,3,0.84,1,2,3,1,0.26,1,21,5,2013.2014
74767,1,2,2,2,2,2,2,1,2,12,5,3,2,15,15,5,1,39,5,2013.2014
74769,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,50,5,2013.2014
74770,1,2,2,2,2,2,2,2,2,10,3.69,3,1,14,14,3.89,1,30,4,2013.2014
74771,1,2,2,2,2,2,2,2,2,6,1.27,1,2,6,6,1.06,1,36,2,2013.2014
74773,2,2,1,1,1,2,2,2,2,3,0.69,1,1,5,5,1.27,1,64,2,2013.2014
74774,1,2,2,2,2,2,2,2,2,3,0.92,1,2,3,3,0.76,1,19,2,2013.2014
74776,1,2,2,2,2,2,2,2,2,8,1.72,2,1,8,8,1.65,2,46,5,2013.2014
74778,1,2,2,2,2,2,2,2,2,7,1.84,2,2,9,9,2.82,1,44,3,2013.2014
74780,1,1,2,2,2,2,2,2,2,8,1.71,2,2,7,7,1.27,1,49,4,2013.2014
74781,1,2,2,2,2,2,2,2,1,7,1.51,2,2,10,10,2.94,1,51,4,2013.2014
74782,1,2,2,2,2,2,2,2,2,8,3.05,3,2,14,14,5,1,59,3,2013.2014
74783,1,2,2,2,2,2,1,2,2,2,0.26,1,2,3,3,0.51,1,35,4,2013.2014
74784,1,2,2,2,2,2,2,2,2,9,1.67,2,2,10,10,1.94,2,39,1,2013.2014
74785,1,2,2,2,2,2,2,1,2,12,5,3,2,15,15,5,1,40,5,2013.2014
74786,1,1,2,2,2,2,2,2,2,2,0.48,1,2,2,2,0.51,1,39,2,2013.2014
74787,1,2,2,2,2,2,2,2,2,5,1.09,1,2,5,5,1.16,1,66,3,2013.2014
74788,1,2,2,2,1,2,2,2,2,7,1.01,1,1,7,7,0.98,1,34,2,2013.2014
74789,1,1,2,2,2,2,2,1,2,6,1.07,1,2,7,7,1.25,1,56,1,2013.2014
74792,2,2,1,2,2,2,1,2,1,5,0.86,1,2,4,4,0.54,1,38,3,2013.2014
74793,1,2,2,2,2,2,2,2,2,6,1.26,1,2,7,7,1.47,1,43,4,2013.2014
74794,1,1,2,2,2,2,2,2,2,12,4.59,3,1,15,15,4.67,1,38,5,2013.2014
74795,1,2,2,2,2,2,2,2,2,8,1.72,2,2,8,8,1.61,1,39,1,2013.2014
74796,1,2,2,2,2,1,2,2,2,3,0.61,1,1,4,4,0.67,1,48,4,2013.2014
74797,1,2,2,2,2,2,2,2,2,6,2.26,3,2,15,8,4.28,1,63,3,2013.2014
74798,1,2,2,2,2,2,2,2,2,6,1.7,2,1,6,6,2.19,1,34,2,2013.2014
74799,1,2,2,2,2,2,2,1,2,10,3.16,3,2,14,14,3.18,1,35,4,2013.2014
74800,1,1,2,1,2,1,2,2,2,4,0.5,1,1,6,6,0.69,1,52,2,2013.2014
74801,1,2,2,2,2,2,1,2,2,5,0.86,1,1,6,6,1,1,36,5,2013.2014
74803,1,1,2,2,2,2,2,2,2,5,1.37,2,2,2,2,0.47,2,24,4,2013.2014
74805,1,2,1,2,1,2,1,2,2,9,1.88,3,1,14,10,2.19,1,70,1,2013.2014
74806,1,2,2,2,2,2,2,1,2,11,3.82,3,1,14,14,4.03,1,46,4,2013.2014
74810,1,2,2,2,2,1,2,2,2,2,0.31,1,2,2,2,0.31,1,23,3,2013.2014
74811,1,1,2,2,2,2,2,1,2,5,1.21,1,1,9,9,2.78,1,29,5,2013.2014
74812,2,2,1,2,2,9,2,2,2,2,0.73,1,2,2,2,0.73,1,50,4,2013.2014
74813,1,2,2,2,2,2,2,2,2,5,0.77,1,2,6,6,0.9,1,38,4,2013.2014
74814,1,2,2,2,2,2,2,2,2,3,0.61,1,2,3,3,0.51,1,30,3,2013.2014
74815,1,2,2,2,2,2,2,2,2,10,2.61,3,2,5,5,0.76,1,30,3,2013.2014
74816,1,1,2,2,2,2,2,2,2,2,0.3,1,1,2,2,0.29,1,38,4,2013.2014
74817,1,2,2,2,2,2,2,1,1,11,3.14,3,2,14,14,3.14,1,45,5,2013.2014
74818,1,2,2,2,2,2,2,2,2,12,5,3,1,15,15,5,1,23,5,2013.2014
74819,1,1,2,2,2,2,2,1,2,8,2.43,3,1,9,9,2.78,1,28,4,2013.2014
74820,1,2,2,2,2,1,2,2,2,3,0.4,1,1,5,5,0.56,1,33,3,2013.2014
74822,1,2,2,2,2,2,2,2,2,9,5,3,2,15,9,5,1,45,2,2013.2014
74825,1,2,2,2,2,2,2,2,2,8,1.72,2,1,8,8,1.61,1,39,1,2013.2014
74826,1,2,2,2,2,2,2,2,2,12,5,3,1,15,15,5,1,47,5,2013.2014
74828,1,2,2,2,2,2,2,2,2,12,4.53,3,1,15,15,5,1,38,5,2013.2014
74830,1,1,2,2,2,2,2,2,2,7,0.91,1,1,6,6,0.71,1,40,5,2013.2014
74831,1,2,2,2,2,2,2,2,2,12,5,3,2,15,15,5,1,66,5,2013.2014
74832,1,2,2,2,2,2,2,1,2,11,5,3,1,14,9,5,1,21,3,2013.2014
74833,1,2,2,2,2,2,2,1,2,12,3.75,3,1,15,15,3.13,1,46,4,2013.2014
74835,1,2,2,2,2,2,2,2,1,10,2.06,3,1,10,10,2.15,1,36,3,2013.2014
74837,2,2,1,2,2,2,2,2,2,3,0.88,1,2,3,3,0.84,1,66,4,2013.2014
74838,1,2,2,2,2,2,2,1,1,8,2.46,3,2,14,14,3.84,1,41,5,2013.2014
74839,1,2,2,2,2,2,2,1,1,12,5,3,1,15,15,5,2,47,5,2013.2014
74840,1,2,2,2,2,2,2,2,2,5,1.02,1,1,6,6,1.27,1,51,1,2013.2014
74842,1,2,1,2,2,2,2,2,1,9,1.95,3,2,10,10,2.22,1,27,4,2013.2014
74843,1,2,2,2,2,2,1,2,2,3,0.61,1,2,2,2,0.48,1,38,1,2013.2014
74844,1,2,2,2,2,2,2,2,2,6,1.46,2,1,5,5,1.16,1,41,5,2013.2014
74845,1,2,2,2,2,2,2,2,2,9,2.18,3,2,10,10,2.36,1,33,5,2013.2014
74846,1,2,2,2,2,2,2,2,2,4,0.77,1,2,4,4,0.82,1,20,2,2013.2014
74847,1,2,2,2,2,2,2,1,1,9,3.07,3,2,15,15,5,1,30,5,2013.2014
74850,2,2,2,2,2,2,2,2,2,3,0.49,1,2,1,1,0,1,38,1,2013.2014
74851,2,2,1,2,2,2,2,2,2,4,1.65,2,1,99,4,1.65,1,80,4,2013.2014
74852,1,2,2,2,2,1,2,1,2,6,1.26,1,2,6,6,1.17,1,31,4,2013.2014
74853,2,2,1,2,1,2,2,1,2,11,5,3,2,14,14,5,1,80,5,2013.2014
74854,1,2,2,2,2,2,2,2,2,4,0.6,1,2,5,5,0.82,1,42,3,2013.2014
74856,2,2,2,1,2,2,2,2,2,4,0.56,1,1,4,4,0.54,1,44,3,2013.2014
74857,1,2,2,2,2,2,2,2,1,6,1.01,1,2,7,7,1.19,1,43,5,2013.2014
74858,1,2,2,2,2,2,2,1,1,11,2.82,3,1,14,14,2.82,1,42,5,2013.2014
74859,1,2,2,1,2,2,2,2,2,6,1.6,2,2,6,6,1.59,1,55,3,2013.2014
74860,1,2,2,2,2,2,2,2,2,8,1.96,3,1,10,10,2.36,2,40,4,2013.2014
74861,1,2,2,2,2,1,2,2,2,2,0.36,1,1,2,2,0.41,2,20,3,2013.2014
74862,1,2,1,2,2,1,1,2,2,5,0.76,1,2,7,7,1.2,1,25,2,2013.2014
74863,1,2,2,2,2,2,2,1,2,11,4.92,3,1,15,15,5,1,38,5,2013.2014
74864,1,2,2,2,2,2,2,2,2,5,0.86,1,2,6,6,1.07,1,41,2,2013.2014
74866,1,2,2,1,2,2,2,2,1,5,0.75,1,1,7,7,1.09,1,40,4,2013.2014
74867,1,2,1,2,1,2,2,1,2,11,5,3,2,14,14,5,1,69,3,2013.2014
74868,1,2,2,2,2,2,2,2,2,4,0.65,1,2,5,5,0.73,1,38,1,2013.2014
74869,2,2,1,2,1,1,2,2,2,5,1.57,2,2,6,6,1.7,1,80,2,2013.2014
74870,1,2,2,2,2,2,2,2,2,7,1,1,2,5,5,0.56,2,45,5,2013.2014
74872,1,1,2,2,2,2,2,2,2,1,0,1,1,15,9,5,1,50,4,2013.2014
74873,1,2,2,2,2,2,2,2,2,2,0.36,1,2,1,1,0.04,1,25,4,2013.2014
74874,1,2,2,2,2,2,2,2,2,11,3.77,3,1,15,15,4.19,1,36,5,2013.2014
74875,1,2,2,2,2,2,2,2,2,6,1.54,2,2,8,8,2.56,1,26,4,2013.2014
74876,1,2,2,1,2,2,2,2,1,7,1.51,2,1,7,7,1.51,1,24,4,2013.2014
74878,2,2,1,2,1,2,2,1,2,9,3.87,3,2,14,14,5,2,67,5,2013.2014
74879,1,2,2,2,2,2,2,1,2,12,5,3,2,15,15,5,2,43,5,2013.2014
74880,2,2,2,1,2,2,2,2,2,4,1.08,1,1,4,4,0.97,1,54,3,2013.2014
74881,1,2,1,2,2,2,2,2,1,6,0.91,1,2,6,6,0.91,1,41,2,2013.2014
74883,1,2,2,2,2,2,2,1,1,9,3.81,3,2,14,14,5,1,56,4,2013.2014
74885,2,2,1,2,1,2,2,2,2,2,0.6,1,2,3,3,0.64,1,57,4,2013.2014
74886,1,2,2,2,2,2,2,2,2,7,1.13,1,2,6,6,0.78,1,38,2,2013.2014
74887,1,2,1,1,2,1,2,2,2,7,1.14,1,1,8,8,1.42,1,24,4,2013.2014
74888,1,1,2,2,2,2,2,2,2,3,0.38,1,1,3,3,0.31,1,52,1,2013.2014
74889,1,2,2,2,2,2,2,2,2,9,3.03,3,1,7,7,2.12,1,50,2,2013.2014
74890,2,2,2,1,2,1,2,2,2,2,0.67,1,1,3,2,0.69,1,30,3,2013.2014
74891,1,2,2,2,2,2,2,2,1,3,0.92,1,2,10,10,4.45,1,21,3,2013.2014
74893,2,2,1,2,1,2,2,1,2,12,5,3,2,15,15,5,1,72,5,2013.2014
74894,1,2,1,2,2,2,2,2,2,11,2.16,3,2,15,15,3.05,1,42,3,2013.2014
74895,1,2,2,2,2,2,2,2,1,1,0,1,2,10,1,0,1,42,4,2013.2014
74896,1,2,2,2,2,2,2,2,2,8,2.24,3,1,7,7,1.7,1,32,4,2013.2014
74897,1,2,2,2,2,2,2,2,1,5,0.87,1,2,5,5,0.87,2,55,1,2013.2014
74898,1,2,2,1,2,1,1,2,2,8,1.13,1,2,8,8,0.94,1,38,1,2013.2014
74900,1,2,1,2,1,2,2,1,2,4,0.99,1,2,6,6,1.91,1,69,4,2013.2014
74901,1,2,2,2,2,2,2,2,2,5,1.55,2,1,6,6,1.74,1,55,3,2013.2014
74902,1,2,2,2,2,2,2,2,1,3,0.88,1,2,8,4,0.95,1,39,4,2013.2014
74904,2,2,1,2,2,2,2,2,2,6,1.27,1,2,4,4,0.72,1,55,3,2013.2014
74905,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,41,5,2013.2014
74909,1,2,1,2,2,2,2,2,2,7,1.03,1,1,8,8,1.25,2,41,2,2013.2014
74910,2,2,1,2,2,1,2,2,1,2,0.55,1,2,2,2,0.46,1,63,3,2013.2014
74913,1,2,2,2,2,2,2,2,1,8,2.3,3,2,9,9,3.09,1,43,5,2013.2014
74915,1,2,2,2,2,2,2,2,2,12,5,3,2,15,15,5,1,36,5,2013.2014
74916,2,2,2,2,2,2,2,2,1,1,0,1,2,3,3,1.04,1,50,4,2013.2014
74917,1,2,2,1,2,2,2,2,1,5,0.75,1,2,7,7,1.09,1,40,4,2013.2014
74918,1,1,2,2,2,2,2,2,2,8,1.71,2,2,7,7,1.27,2,49,4,2013.2014
74919,1,2,2,2,2,2,2,1,2,10,5,3,2,8,8,4.35,1,66,4,2013.2014
74920,1,2,2,2,2,2,2,2,1,4,0.91,1,2,6,6,1.62,1,30,4,2013.2014
74922,1,1,2,2,2,2,2,2,2,5,0.73,1,1,6,6,1.11,1,45,2,2013.2014
74923,1,2,2,2,2,2,2,2,2,5,1.55,2,1,5,5,1.42,1,57,1,2013.2014
74924,1,2,2,2,2,2,2,2,2,4,0.76,1,1,6,6,1.27,1,31,2,2013.2014
74925,2,2,1,1,1,2,2,1,1,6,2.26,3,2,6,6,2.14,1,62,4,2013.2014
74926,1,1,2,2,2,2,2,2,1,7,1.29,1,2,6,6,1.07,1,28,3,2013.2014
74927,1,2,2,2,1,1,2,2,2,12,5,3,1,15,15,4.16,1,59,3,2013.2014
74928,1,2,2,2,2,2,2,2,2,8,2.24,3,1,9,9,2.59,1,50,2,2013.2014
74929,1,1,1,2,1,2,2,1,2,7,2.4,3,2,8,8,3.38,1,66,4,2013.2014
74930,1,2,2,2,2,2,2,2,2,11,3.48,3,2,14,14,3.23,1,42,4,2013.2014
74933,1,2,1,1,2,2,2,2,2,9,2.52,3,2,10,10,2.94,1,57,3,2013.2014
74934,1,2,2,2,2,2,2,2,2,7,1.52,2,1,7,7,1.45,1,35,4,2013.2014
74936,1,2,2,2,2,2,2,2,2,11,3.27,3,2,15,15,4.86,1,52,4,2013.2014
74937,1,2,1,2,2,2,2,1,2,12,5,3,1,14,14,4.3,1,74,4,2013.2014
74938,1,1,2,2,2,2,2,1,1,12,5,3,2,15,15,5,1,52,4,2013.2014
74939,1,2,2,2,2,2,2,1,2,12,4.67,3,1,15,15,5,1,38,5,2013.2014
74940,1,2,2,2,2,2,2,2,2,5,0.86,1,1,7,7,1.5,2,47,3,2013.2014
74941,1,1,2,2,2,2,2,2,2,4,1.34,2,2,6,6,2.14,1,59,3,2013.2014
74942,1,2,2,2,2,2,2,2,2,11,3.48,3,2,14,14,3.23,1,42,4,2013.2014
74943,1,2,2,2,2,2,2,2,2,5,0.86,1,1,7,7,1.5,1,47,3,2013.2014
74944,1,2,2,2,2,2,2,2,2,5,0.76,1,2,1,1,0.13,1,23,3,2013.2014
74945,1,2,2,2,2,2,2,2,2,9,1.88,3,2,14,14,2.66,1,36,4,2013.2014
74946,2,1,1,2,2,2,2,2,2,2,0.73,1,1,1,1,0.16,1,62,3,2013.2014
74947,1,2,2,2,2,2,2,2,1,6,1.2,1,2,6,6,1.04,1,26,4,2013.2014
74948,2,1,2,1,1,2,2,2,2,8,1.94,3,2,15,15,4.25,1,33,4,2013.2014
74949,1,1,2,2,2,2,2,2,2,4,0.65,1,1,6,6,1.02,1,37,4,2013.2014
74953,2,2,1,2,1,2,2,1,2,12,5,3,1,6,6,2.18,1,80,4,2013.2014
74954,1,1,2,2,2,2,2,2,2,11,3.52,3,2,10,10,3.02,2,23,3,2013.2014
74955,1,2,2,2,2,2,2,1,2,11,3.82,3,2,14,14,4.03,1,46,4,2013.2014
74956,1,2,2,2,2,2,2,2,2,6,0.56,1,1,6,6,0.56,1,45,1,2013.2014
74957,1,1,2,2,2,2,2,2,2,5,1.03,1,1,6,6,1.26,1,26,3,2013.2014
74958,2,2,2,2,2,1,2,2,2,3,0.61,1,2,3,3,0.51,2,76,4,2013.2014
74959,1,2,2,2,2,2,2,2,2,3,0.25,1,1,1,1,0.07,1,41,2,2013.2014
74960,1,2,1,1,2,2,2,1,2,3,0.93,1,2,14,3,0.87,1,63,4,2013.2014
74961,1,2,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,61,5,2013.2014
74963,1,1,2,2,2,2,2,2,2,4,0.65,1,1,6,6,1.02,1,37,4,2013.2014
74964,1,2,2,2,2,2,2,2,2,4,0.61,1,2,5,5,0.63,1,30,1,2013.2014
74966,1,2,2,2,2,2,2,2,2,8,1.96,3,1,8,8,1.81,1,30,2,2013.2014
74968,1,2,2,1,2,1,2,2,2,2,0.36,1,2,2,2,0.36,1,48,4,2013.2014
74969,1,1,2,2,2,2,2,1,2,4,0.64,1,1,5,5,0.82,2,44,3,2013.2014
74971,1,2,2,2,2,2,2,1,2,12,3.33,3,2,15,15,3.53,2,54,5,2013.2014
74972,1,2,2,2,2,2,2,1,1,12,4.73,3,1,15,15,5,1,36,5,2013.2014
74973,1,2,2,2,2,2,2,1,2,11,2.36,3,2,14,14,2.25,1,45,4,2013.2014
74974,1,2,2,2,2,2,2,2,2,12,3.26,3,1,15,15,5,2,50,4,2013.2014
74975,1,2,2,2,2,1,2,2,2,3,0.4,1,1,5,5,0.56,1,33,3,2013.2014
74977,1,1,1,2,1,2,2,1,2,12,5,3,2,15,15,4.61,2,67,5,2013.2014
74978,1,2,1,2,2,2,2,2,2,7,1.9,3,2,7,7,2.15,1,51,4,2013.2014
74979,2,2,1,1,1,1,2,2,2,2,0.73,1,2,5,2,0.73,1,80,2,2013.2014
74980,1,2,2,1,2,2,2,2,2,7,1.83,2,1,8,8,1.91,1,36,3,2013.2014
74983,2,2,1,2,2,2,2,2,2,3,0.74,1,2,6,6,1.28,2,63,2,2013.2014
74985,2,2,1,2,2,2,2,2,2,3,1.15,1,2,3,3,1.15,2,66,1,2013.2014
74988,1,1,2,2,2,2,2,2,1,6,1.13,1,2,6,6,1.12,1,38,4,2013.2014
74989,2,2,1,2,2,2,1,2,2,6,2.47,3,2,12,6,2.4,1,80,5,2013.2014
74991,2,2,1,2,2,2,2,2,2,5,0.77,1,1,4,4,0.64,1,45,1,2013.2014
74992,1,2,2,2,2,1,2,2,2,7,1.31,2,2,6,6,1.02,1,30,4,2013.2014
74993,1,2,1,2,2,2,2,1,1,9,2.55,3,1,6,6,1.27,1,44,4,2013.2014
74994,2,2,1,2,2,1,2,2,2,2,0.36,1,2,2,2,0.36,1,31,3,2013.2014
74996,1,1,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,56,5,2013.2014
74997,1,2,2,2,2,2,2,2,2,6,0.99,1,2,8,8,1.61,1,40,3,2013.2014
74998,1,2,2,2,2,2,2,2,2,5,0.67,1,2,6,6,0.7,2,47,4,2013.2014
74999,1,2,2,2,2,2,2,2,2,12,4.79,3,2,15,15,4.9,1,39,5,2013.2014
75000,1,2,2,2,2,2,2,2,2,6,0.56,1,2,6,6,0.56,2,45,1,2013.2014
75001,1,2,2,2,2,2,2,2,2,8,1.74,2,2,7,7,1.38,1,20,4,2013.2014
75002,1,2,1,2,2,1,1,2,2,6,1.07,1,2,5,5,0.72,2,61,1,2013.2014
75003,1,1,2,2,2,2,1,2,2,6,1.09,1,2,7,7,1.27,1,74,4,2013.2014
75004,2,1,1,2,2,2,2,1,2,8,3.09,3,2,8,8,3.09,2,52,4,2013.2014
75006,1,2,2,2,2,2,1,2,2,4,0.91,1,1,4,3,0.71,1,42,3,2013.2014
75007,1,2,2,2,2,2,2,2,1,7,1.51,2,2,10,10,2.94,1,51,4,2013.2014
75008,1,2,2,2,2,2,2,2,2,4,0.97,1,1,1,1,0.05,2,23,5,2013.2014
75009,2,2,2,2,2,1,1,2,2,4,0.5,1,2,4,4,0.5,1,28,4,2013.2014
75011,2,2,1,1,1,2,2,2,1,9,3.87,3,2,9,9,3.87,2,71,4,2013.2014
75012,2,2,2,2,2,2,2,1,1,11,5,3,1,14,14,5,1,60,5,2013.2014
75013,2,2,1,2,2,2,2,2,2,3,1.03,1,1,3,3,1.03,1,63,2,2013.2014
75014,1,2,2,2,2,2,2,2,2,7,2.67,3,1,14,14,4.77,2,43,3,2013.2014
75015,1,2,2,2,2,2,2,2,2,10,2.58,3,2,14,14,2.69,1,38,3,2013.2014
75016,2,2,2,2,2,2,2,2,2,3,0.89,1,1,8,3,0.88,1,80,1,2013.2014
75017,2,2,1,2,1,2,2,2,2,6,1.33,2,1,7,7,1.77,2,79,3,2013.2014
75018,1,2,2,2,2,2,2,1,2,7,1.84,2,2,5,5,1.02,1,53,3,2013.2014
75019,1,2,2,2,2,2,2,2,2,12,3.26,3,2,15,15,5,1,50,4,2013.2014
75020,2,2,1,2,1,2,2,1,2,6,1.66,2,2,4,4,0.92,1,71,2,2013.2014
75024,1,1,2,2,2,2,2,1,2,8,1.72,2,2,10,10,2.58,1,36,5,2013.2014
75025,1,2,1,2,2,2,2,2,2,8,2.76,3,2,10,10,3.33,1,50,2,2013.2014
75026,1,2,2,2,2,2,2,2,2,11,4.24,3,1,15,15,5,1,40,5,2013.2014
75027,1,1,2,2,2,2,2,1,2,12,4.3,3,2,15,15,4.3,1,44,2,2013.2014
75028,1,2,2,2,2,2,2,1,2,5,1.53,2,2,5,5,1.27,1,33,4,2013.2014
75030,2,2,2,2,2,1,2,2,2,2,0.73,1,2,2,2,0.62,1,56,2,2013.2014
75031,2,2,1,2,2,2,2,2,2,7,2.32,3,2,8,8,2.9,1,80,5,2013.2014
75033,1,2,2,2,2,2,2,2,2,9,2.15,3,2,6,6,1.18,1,37,3,2013.2014
75034,1,1,2,2,2,2,2,2,2,9,2.55,3,2,14,14,3.82,1,51,4,2013.2014
75035,1,2,2,2,2,2,2,2,1,6,1.09,1,2,3,3,0.51,1,29,4,2013.2014
75036,1,2,1,2,2,1,1,2,1,4,0.97,1,1,5,5,1.42,1,35,4,2013.2014
75037,1,2,2,2,2,2,2,2,2,7,1.76,2,1,8,8,2.1,1,31,4,2013.2014
75038,1,2,2,2,2,2,2,2,2,2,0.34,1,2,2,2,0.34,1,26,4,2013.2014
75039,1,2,2,2,2,2,2,2,2,5,0.86,1,1,6,6,1.07,1,41,2,2013.2014
75040,1,2,2,2,2,2,2,1,2,12,4.28,3,1,14,14,4.11,1,46,4,2013.2014
75041,1,2,1,2,2,2,2,2,1,6,1.27,1,2,6,6,1.27,1,36,4,2013.2014
75043,2,2,2,2,2,2,1,2,2,2,0.3,1,2,2,2,0.3,1,57,2,2013.2014
75044,1,2,1,2,1,2,2,2,2,12,4.3,3,2,14,14,3.22,2,34,4,2013.2014
75045,1,2,2,2,2,2,2,2,2,5,0.91,1,2,5,5,0.96,1,51,1,2013.2014
75047,1,2,2,2,2,2,2,2,2,3,0.74,1,2,5,5,1.07,1,38,4,2013.2014
75050,1,2,1,1,2,2,2,2,2,5,0.75,1,1,6,6,0.9,1,41,4,2013.2014
75051,1,2,2,2,2,2,2,2,2,7,1.51,2,1,7,7,1.47,2,48,1,2013.2014
75052,1,2,2,2,2,2,2,2,2,3,0.52,1,1,5,5,0.73,1,48,3,2013.2014
75053,1,2,2,2,2,2,2,2,2,12,5,3,2,15,15,5,1,37,4,2013.2014
75054,1,1,2,2,2,2,2,2,2,12,4.3,3,1,15,15,5,1,30,5,2013.2014
75055,1,1,2,2,2,2,2,1,2,12,5,3,1,15,15,5,1,55,5,2013.2014
75056,1,2,2,2,2,1,2,2,1,5,0.51,1,2,7,7,0.93,1,53,2,2013.2014
75057,2,2,1,1,2,2,2,2,2,7,2.63,3,2,7,7,2.63,2,51,5,2013.2014
75058,2,1,1,2,1,2,2,1,2,11,5,3,2,14,14,5,1,68,5,2013.2014
75059,1,2,2,2,2,2,2,2,1,4,0.81,1,2,6,6,1.22,1,29,4,2013.2014
75060,1,2,2,2,2,2,2,1,2,10,2.28,3,1,15,15,5,1,60,2,2013.2014
75061,1,2,2,2,2,2,2,1,2,12,5,3,2,15,15,5,1,57,5,2013.2014
75063,1,2,2,2,2,2,2,2,2,4,1.46,2,1,7,7,3.05,1,34,5,2013.2014
75065,2,1,1,2,1,2,2,1,2,11,5,3,1,15,15,5,1,76,5,2013.2014
75066,1,2,2,2,2,2,2,2,2,12,5,3,2,15,15,5,1,44,5,2013.2014
75067,2,2,2,2,2,2,2,2,1,6,0.81,1,2,3,3,0.36,1,42,2,2013.2014
75068,2,2,1,2,2,2,2,2,2,3,1.23,1,1,4,4,1.46,1,72,4,2013.2014
75069,2,2,2,1,2,1,2,2,2,2,0.36,1,1,2,2,0.25,1,41,2,2013.2014
75070,2,2,2,2,2,2,1,2,2,5,1.32,2,2,3,3,0.93,2,74,1,2013.2014
