Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,Savings_Over5000,TotalSavings
55,62215,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,99.0,,9.0,9.0,
56,62216,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
57,62217,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,4.0,0.97,1.0,2.0,1.0
58,62218,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,7.0,1.94,3.0,,
59,62219,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,9.0,2.0,1.0
60,62220,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,4.3,3.0,,
61,62221,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,3.38,3.0,,
62,62222,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
63,62223,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,2.0,,,,,
64,62224,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,2.42,3.0,,
65,62225,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,3.9,3.0,,
66,62226,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,1.98,3.0,,
67,62227,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
68,62228,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,77.0,,3.0,,
69,62229,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,6.0,1.57,2.0,2.0,3.0
70,62230,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.07,1.0,2.0,1.0
71,62231,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,4.59,3.0,,
72,62232,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0,1.98,3.0,,
73,62233,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,99.0,,1.0,2.0,1.0
74,62234,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,4.89,3.0,,
75,62235,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,4.43,3.0,,
76,62236,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
77,62237,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,7.0,2.54,3.0,,
78,62238,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.22,3.0,2.0,1.0
79,62239,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.1,1.0,2.0,1.0
80,62240,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.67,2.0,,
81,62241,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.68,3.0,,
82,62242,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,7.0,2.38,3.0,,
83,62243,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
84,62244,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,2.68,3.0,,
85,62245,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
86,62246,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,9.0,2.0,1.0
87,62247,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.98,3.0,2.0,5.0
88,62248,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,1.59,2.0,1.0,
89,62249,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,7.0,3.31,3.0,1.0,
90,62250,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
91,62251,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,99.0,,3.0,1.0,
92,62252,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,9.0,3.14,3.0,,
93,62253,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,9.0,3.24,3.0,,
94,62254,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,77.0,,3.0,2.0,1.0
95,62255,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,4.0,1.04,1.0,2.0,1.0
96,62256,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,6.0,1.71,2.0,1.0,
97,62257,,,,,,,,,,,,,,
98,62258,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,6.0,1.07,1.0,1.0,
99,62259,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.82,1.0,2.0,1.0
100,62260,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
101,62261,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.46,3.0,,
102,62262,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,0.89,1.0,2.0,1.0
103,62263,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.55,1.0,2.0,1.0
104,62264,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,5.0,1.63,2.0,,
105,62265,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.16,1.0,2.0,2.0
106,62266,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.15,3.0,2.0,1.0
107,62267,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,5.0,1.04,1.0,2.0,1.0
108,62268,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,1.0,2.0,1.0
109,62269,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,5.0,0.72,1.0,2.0,1.0
110,62270,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,0.44,1.0,2.0,1.0
111,62271,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,77.0,,3.0,2.0,2.0
112,62272,1.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,5.0,0.62,1.0,2.0,1.0
113,62273,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,3.76,3.0,,
114,62274,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,3.0,0.55,1.0,2.0,1.0
115,62275,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,,
116,62276,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,5.0,3.0,,
117,62277,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,4.41,3.0,,
118,62278,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,2.62,3.0,,
119,62279,1.0,2.0,9.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,0.94,1.0,2.0,1.0
120,62280,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,4.0,1.31,2.0,2.0,77.0
121,62281,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.01,1.0,2.0,1.0
122,62282,1.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,4.0,1.22,1.0,1.0,
123,62283,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,99.0,,3.0,,
124,62284,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.89,3.0,,
125,62285,1.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,8.0,2.83,3.0,2.0,1.0
126,62286,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,
127,62287,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,7.0,2.45,3.0,,
128,62288,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,2.24,3.0,,
129,62289,2.0,1.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,3.0,1.29,1.0,1.0,
130,62290,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,77.0,,1.0,2.0,1.0
131,62291,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,11.0,5.0,3.0,,
132,62292,1.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,12.0,5.0,3.0,,
133,62293,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,1.29,1.0,2.0,1.0
134,62294,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,3.0,0.57,1.0,2.0,1.0
