"","SEQN","INQ020","INQ012","INQ030","INQ060","INQ080","INQ090","INQ132","INQ140","INQ150","IND235","INDFMMPI","INDFMMPC","INQ244","IND247"
"6225",79781,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6226",79782,2,2,1,2,2,1,2,2,2,5,1.11,1,2,1
"6227",79783,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"6228",79784,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6229",79785,1,2,2,2,2,2,2,2,2,3,0.74,1,2,1
"6230",79786,1,2,2,2,2,2,2,1,2,8,1.93,3,NA,NA
"6231",79787,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6232",79788,1,2,2,2,2,2,2,2,2,3,1.23,1,2,1
"6233",79789,1,2,2,2,2,2,2,1,2,9,5,3,NA,NA
"6234",79790,1,2,2,2,2,2,1,2,2,3,0.48,1,2,1
"6235",79791,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"6236",79792,1,2,2,2,2,2,2,2,1,10,2.06,3,NA,NA
"6237",79793,1,2,2,2,2,2,2,1,2,12,4.3,3,NA,NA
"6238",79794,1,2,2,2,2,2,2,2,2,4,1.67,2,NA,NA
"6239",79795,1,1,1,2,2,2,2,2,2,8,3.05,3,NA,NA
"6240",79796,1,2,2,2,2,2,2,2,2,4,0.91,1,2,1
"6241",79797,1,2,2,2,2,2,2,1,2,9,2.55,3,NA,NA
"6242",79798,1,2,2,2,2,2,2,1,2,4,1.14,1,1,NA
"6243",79799,1,2,2,2,2,2,2,2,2,7,2.15,3,NA,NA
"6244",79800,1,2,1,2,2,2,2,2,2,7,2.48,3,NA,NA
"6245",79801,2,2,1,2,2,9,2,2,2,3,1.25,1,2,1
"6246",79802,1,2,2,2,2,2,2,1,2,11,3.63,3,NA,NA
"6247",79803,1,2,2,2,2,2,2,2,2,6,1.35,2,2,1
"6248",79804,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6249",79805,1,2,2,2,2,2,2,2,2,5,1.55,2,NA,NA
"6250",79806,1,2,2,2,2,2,2,2,2,5,1.32,2,2,1
"6251",79807,1,1,2,2,2,2,2,2,2,11,3.57,3,NA,NA
"6252",79808,2,2,2,2,2,2,2,2,2,3,0.34,1,2,1
"6253",79809,1,2,2,2,2,2,2,2,2,8,4.63,3,NA,NA
"6254",79810,1,2,1,2,2,2,2,1,2,12,5,3,NA,NA
"6255",79811,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6256",79812,1,2,1,1,1,2,2,2,2,7,1.01,1,2,2
"6257",79813,2,2,1,2,2,2,2,2,2,4,1.08,1,2,1
"6258",79814,2,2,1,2,1,2,2,2,2,1,0.15,1,2,1
"6259",79815,1,1,2,2,2,2,2,1,2,12,5,3,NA,NA
"6260",79816,2,2,1,2,1,2,2,2,2,7,2.24,3,NA,NA
"6261",79817,1,2,2,2,2,2,2,2,2,8,1.81,2,NA,NA
"6262",79818,1,1,2,2,2,2,2,2,2,10,3.02,3,NA,NA
"6263",79819,2,2,2,2,2,2,2,2,2,8,3.05,3,NA,NA
"6264",79820,1,2,2,2,2,2,1,2,2,5,0.46,1,2,1
"6265",79821,1,1,2,2,2,2,1,2,2,4,0.75,1,2,1
"6266",79822,1,2,2,2,2,2,2,2,2,7,1.52,2,9,NA
"6267",79823,1,2,2,2,2,2,2,2,2,11,5,3,NA,NA
"6268",79824,1,2,1,2,2,2,2,2,2,9,3.03,3,NA,NA
"6269",79825,2,2,1,2,1,2,2,2,2,7,3.66,3,NA,NA
"6270",79826,1,2,1,2,2,2,2,2,1,NA,NA,NA,NA,NA
"6271",79827,1,2,2,2,2,2,2,2,2,8,2.46,3,2,1
"6272",79828,1,2,2,2,2,2,2,2,2,11,3.82,3,NA,NA
"6273",79829,1,2,2,2,2,2,2,2,2,2,0.38,1,2,1
"6274",79830,1,2,2,2,2,2,2,2,1,7,1.5,2,2,1
"6275",79831,1,2,2,2,2,2,2,2,2,7,0.85,1,2,1
"6276",79832,2,2,1,2,2,2,2,2,2,2,0.77,1,2,2
"6277",79833,1,2,2,2,2,2,2,1,2,12,3.33,3,NA,NA
"6278",79834,1,2,2,2,2,2,2,2,1,7,1.52,2,2,1
"6279",79835,1,2,2,2,2,2,2,2,2,3,0.61,1,2,1
"6280",79836,1,1,2,2,2,2,2,2,2,11,3.44,3,NA,NA
"6281",79837,1,2,2,2,2,2,2,2,2,7,2.15,3,NA,NA
"6282",79838,2,2,1,2,1,2,2,2,2,2,0.8,1,2,1
"6283",79839,1,2,2,1,2,1,2,2,2,7,1.48,2,NA,NA
"6284",79840,2,2,1,2,2,2,2,2,2,5,1.57,2,2,1
"6285",79841,1,2,1,2,2,2,2,1,2,12,5,3,NA,NA
"6286",79842,1,2,2,2,2,2,2,2,2,4,0.64,1,2,1
"6287",79843,1,2,2,2,2,2,2,2,2,10,5,3,NA,NA
"6288",79844,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6289",79845,1,1,2,2,2,2,2,2,2,9,3.07,3,NA,NA
"6290",79846,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"6291",79847,1,2,2,2,2,2,2,2,2,11,3.57,3,NA,NA
"6292",79848,1,1,2,2,2,2,2,2,2,11,5,3,NA,NA
"6293",79849,2,2,1,2,2,2,2,1,1,10,4.58,3,NA,NA
"6294",79850,1,1,2,2,2,2,2,2,1,11,2.39,3,NA,NA
"6295",79851,1,1,2,2,2,2,2,2,2,12,3.87,3,NA,NA
"6296",79852,7,7,7,7,7,7,7,7,7,NA,NA,NA,NA,NA
"6297",79853,1,2,1,2,2,2,2,1,2,11,5,3,NA,NA
"6298",79854,1,2,1,2,2,1,7,2,2,6,2.09,3,NA,NA
"6299",79855,1,2,2,2,2,2,2,2,2,77,NA,1,2,1
"6300",79856,1,2,2,2,2,2,2,2,2,8,1.5,2,NA,NA
"6301",79857,2,2,2,1,2,1,1,2,2,2,0.36,1,2,1
"6302",79858,1,2,2,2,1,2,2,2,2,5,0.87,1,2,1
"6303",79859,1,2,1,2,2,2,2,2,2,99,NA,3,2,1
"6304",79860,1,2,2,2,2,2,2,2,1,9,4.07,3,NA,NA
"6305",79861,1,2,2,2,2,2,2,2,2,99,NA,1,2,1
"6306",79862,1,2,2,2,2,2,2,2,2,6,1.54,2,2,1
"6307",79863,1,2,2,2,2,2,2,2,2,99,NA,1,2,1
"6308",79864,2,2,1,1,1,1,2,2,2,3,0.84,1,2,1
"6309",79865,1,1,2,2,2,2,2,2,2,12,4.59,3,NA,NA
"6310",79866,1,2,2,2,2,2,2,2,2,77,NA,7,2,1
"6311",79867,1,2,2,2,2,2,1,2,2,2,0.31,1,2,2
"6312",79868,1,2,1,2,2,2,2,2,2,8,1.72,2,NA,NA
"6313",79869,1,1,2,2,2,2,2,1,2,8,1.96,3,NA,NA
"6314",79870,1,2,2,2,2,2,2,2,2,10,3.06,3,NA,NA
"6315",79871,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6316",79872,1,2,1,2,2,2,2,2,2,8,3.33,3,NA,NA
"6317",79873,1,2,2,2,2,2,2,2,2,8,1.52,2,2,3
"6318",79874,1,2,1,2,2,2,2,2,2,9,1.68,2,NA,NA
"6319",79875,1,2,2,2,2,2,2,2,2,6,1.52,2,NA,NA
"6320",79876,2,1,2,2,2,2,2,2,2,77,NA,7,2,1
"6321",79877,1,2,1,2,2,1,2,2,2,6,0.69,1,2,1
"6322",79878,2,2,1,2,2,2,2,1,1,9,3.03,3,NA,NA
"6323",79879,1,2,2,2,2,1,2,2,1,4,0.57,1,2,1
"6324",79880,1,2,1,2,2,1,2,2,2,6,1.66,2,NA,NA
"6325",79881,1,1,1,2,2,2,2,2,2,6,1.86,3,NA,NA
"6326",79882,1,1,2,2,2,2,2,2,2,11,2.51,3,2,2
"6327",79883,1,2,2,2,2,2,2,1,1,8,2.24,3,NA,NA
"6328",79884,2,2,1,1,2,2,2,2,2,4,1.36,2,2,1
"6329",79885,2,2,1,2,2,2,2,2,2,3,1.03,1,2,1
"6330",79886,1,1,2,2,2,2,2,2,2,7,1.51,2,NA,NA
"6331",79887,2,2,1,1,2,2,2,2,2,3,0.86,1,2,1
"6332",79888,1,2,2,2,2,2,2,1,2,11,5,3,NA,NA
"6333",79889,1,2,1,2,2,2,2,2,2,9,1.68,2,NA,NA
"6334",79890,1,1,2,2,2,2,2,2,2,11,3.82,3,NA,NA
"6335",79891,2,2,2,1,2,2,2,2,2,5,1.78,2,2,1
"6336",79892,1,2,2,2,2,2,2,1,2,11,3.4,3,NA,NA
"6337",79893,1,2,2,2,2,2,2,2,2,10,3.64,3,NA,NA
"6338",79894,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6339",79895,1,2,1,2,2,2,2,2,2,3,0.67,1,2,1
"6340",79896,1,2,2,1,2,1,2,2,1,8,1.45,2,NA,NA
"6341",79897,1,2,2,2,2,2,2,2,2,99,NA,9,2,1
"6342",79898,1,2,2,2,2,2,1,1,1,9,1.68,2,1,NA
"6343",79899,1,2,2,2,2,2,2,1,2,7,1.52,2,NA,NA
"6344",79900,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6345",79901,1,2,2,2,2,2,2,2,2,10,5,3,NA,NA
"6346",79902,1,2,2,2,2,2,2,1,1,11,4.03,3,NA,NA
"6347",79903,1,2,2,2,2,2,2,2,2,5,1.23,1,NA,NA
"6348",79904,1,2,2,2,1,1,2,2,2,4,0.97,1,2,1
"6349",79905,1,1,2,2,2,2,2,2,2,9,1.83,2,NA,NA
"6350",79906,1,1,2,2,2,2,2,2,2,5,1.53,2,2,3
"6351",79907,1,2,1,2,2,2,2,2,1,9,1.95,3,NA,NA
"6352",79908,1,2,2,2,2,2,2,2,2,4,0.4,1,2,1
"6353",79909,1,2,2,2,2,2,2,2,2,99,NA,2,9,NA
"6354",79910,1,2,2,2,2,2,2,2,1,5,1.53,2,2,1
"6355",79911,1,2,2,2,2,2,2,2,2,6,1.72,2,2,1
"6356",79912,1,2,2,2,2,2,2,2,1,10,4.58,3,2,1
"6357",79913,2,2,2,2,2,2,2,1,2,3,0.84,1,NA,NA
"6358",79914,1,2,2,2,2,2,2,2,2,77,NA,1,2,1
"6359",79915,2,2,1,2,2,2,2,2,2,8,3.09,3,NA,NA
"6360",79916,1,2,2,2,2,2,2,1,2,11,5,3,NA,NA
"6361",79917,1,2,1,2,2,2,2,1,2,8,2.01,3,2,1
"6362",79918,2,2,1,1,2,2,2,2,2,4,1.22,1,1,NA
"6363",79919,1,2,2,2,2,2,2,2,2,3,1.15,1,2,1
"6364",79920,1,2,2,2,2,1,2,2,2,6,1.52,2,2,2
"6365",79921,1,2,2,1,1,2,2,2,1,12,4.1,3,NA,NA
"6366",79922,1,2,2,2,2,2,2,2,2,5,1.09,1,2,1
"6367",79923,1,2,1,2,2,2,2,2,2,9,3.07,3,NA,NA
"6368",79924,1,2,2,2,2,2,2,2,2,7,2.55,3,NA,NA
"6369",79925,1,2,2,2,2,2,2,1,2,8,4.63,3,NA,NA
"6370",79926,1,1,2,2,2,2,2,2,2,5,1.75,2,2,2
"6371",79927,1,2,2,2,2,2,2,2,2,3,0.45,1,2,1
"6372",79928,1,2,1,2,1,2,2,1,1,12,5,3,NA,NA
"6373",79929,1,2,2,2,2,1,1,2,2,3,0.52,1,2,1
"6374",79930,1,2,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
"6375",79931,1,2,2,2,2,2,2,2,2,10,1.82,2,2,1
"6376",79932,1,2,2,2,2,2,2,2,2,7,1.14,1,2,1
"6377",79933,2,2,1,2,2,2,2,2,1,3,0.7,1,2,77
"6378",79934,1,2,2,2,2,2,2,2,1,7,2.24,3,2,1
"6379",79935,1,2,2,2,2,1,2,1,2,6,1.26,1,2,2
"6380",79936,1,2,2,2,2,2,2,2,2,6,1.68,2,NA,NA
"6381",79937,2,2,1,2,2,2,2,2,2,4,1.31,2,2,1
"6382",79938,1,2,2,2,2,2,2,2,2,7,2.71,3,NA,NA
"6383",79939,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"6384",79940,2,2,2,2,2,2,2,2,2,8,2.59,3,2,3
"6385",79941,1,2,2,2,1,2,2,2,2,3,1.03,1,2,1
"6386",79942,1,2,1,2,2,1,2,2,2,7,1.29,1,2,1
"6387",79943,2,2,2,2,2,2,2,2,2,1,0,1,7,NA
"6388",79944,2,2,1,2,2,1,2,2,2,3,0.84,1,2,1
"6389",79945,1,2,2,2,2,2,2,2,2,77,NA,7,2,77
"6390",79946,1,2,2,2,2,2,2,2,2,11,4.03,3,NA,NA
"6391",79947,2,1,2,1,1,2,2,2,2,8,1.94,3,NA,NA
"6392",79948,1,2,2,2,2,2,2,2,2,11,4.03,3,NA,NA
"6393",79949,1,2,1,2,2,2,2,2,1,11,3.05,3,NA,NA
"6394",79950,1,2,1,2,1,2,2,2,2,8,1.44,2,NA,NA
"6395",79951,2,2,1,2,1,2,2,1,2,7,2.36,3,NA,NA
"6396",79952,2,2,1,1,2,2,2,2,2,3,0.85,1,2,1
"6397",79953,1,1,2,2,2,2,2,2,2,5,0.76,1,2,1
"6398",79954,1,2,1,2,2,2,2,1,2,10,5,3,NA,NA
"6399",79955,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6400",79956,2,2,1,2,1,1,2,2,2,6,1.31,2,2,1
"6401",79957,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6402",79958,1,1,1,2,2,2,2,1,2,12,5,3,NA,NA
"6403",79959,2,2,2,2,2,2,2,2,2,3,1.23,1,2,1
"6404",79960,1,2,2,2,2,2,2,2,2,4,1.07,1,2,1
"6405",79961,1,2,2,2,2,2,2,2,2,99,NA,9,NA,NA
"6406",79962,1,2,2,2,2,2,2,2,2,8,4.49,3,NA,NA
"6407",79963,1,2,2,2,2,2,2,2,2,7,1.84,2,NA,NA
"6408",79964,2,2,1,2,2,2,2,2,2,6,0.87,1,2,1
"6409",79965,1,2,2,2,2,2,2,1,2,11,4.3,3,NA,NA
"6410",79966,1,2,2,2,2,2,2,2,2,10,3.38,3,NA,NA
"6411",79967,2,2,2,2,2,1,2,2,1,2,0.46,1,2,1
"6412",79968,1,2,2,2,2,2,2,2,2,10,2,3,1,NA
"6413",79969,1,1,1,2,2,2,2,2,2,10,2.06,3,NA,NA
"6414",79970,2,2,1,1,2,2,2,2,2,3,0.94,1,2,1
"6415",79971,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6416",79972,1,2,2,2,2,2,2,2,2,6,0.76,1,2,1
"6417",79973,1,2,2,2,2,2,2,2,2,77,NA,7,7,NA
"6418",79974,1,2,1,2,2,2,2,2,2,6,1.64,2,2,1
"6419",79975,1,2,2,2,2,2,2,2,2,9,2.18,3,NA,NA
"6420",79976,1,1,2,2,2,2,2,1,2,12,5,3,NA,NA
"6421",79977,2,2,1,2,1,2,2,1,2,11,5,3,NA,NA
"6422",79978,1,2,2,2,2,2,2,2,2,6,2.61,3,NA,NA
"6423",79979,2,2,1,1,1,2,2,2,2,6,1.79,2,2,1
"6424",79980,2,2,1,2,2,2,1,2,2,3,1.04,1,2,1
"6425",79981,1,1,2,2,2,2,1,2,2,6,1.09,1,2,1
"6426",79982,1,2,2,2,2,2,2,2,2,7,3.13,3,NA,NA
"6427",79983,1,2,2,2,2,2,2,2,2,6,1.41,2,1,NA
"6428",79984,1,2,2,2,2,2,1,2,2,2,0.3,1,2,1
"6429",79985,1,2,2,2,2,2,2,1,2,11,5,3,NA,NA
"6430",79986,1,2,2,2,2,2,2,2,1,8,2.3,3,NA,NA
"6431",79987,2,2,1,2,2,2,2,2,2,3,0.66,1,2,1
"6432",79988,2,2,2,2,2,1,2,2,2,3,0.83,1,2,77
"6433",79989,1,2,2,2,2,2,2,2,1,7,2.63,3,NA,NA
"6434",79990,1,2,2,2,2,2,2,2,2,4,0.38,1,2,1
"6435",79991,1,2,2,2,2,2,2,2,2,99,NA,9,NA,NA
"6436",79992,1,2,2,2,2,2,2,2,2,10,3.32,3,NA,NA
"6437",79993,1,1,2,2,2,2,2,2,2,5,0.76,1,2,1
"6438",79994,1,2,2,2,2,2,2,2,2,99,NA,1,2,1
"6439",79995,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
"6440",79996,1,2,2,2,2,2,2,1,2,12,5,3,NA,NA
"6441",79997,1,2,2,1,2,2,2,2,2,6,0.76,1,2,1
"6442",79998,1,2,2,2,2,2,2,2,2,8,1.44,2,2,1
"6443",79999,1,2,2,2,2,2,2,2,2,6,1.07,1,2,1
"6444",80000,1,2,2,2,2,2,2,2,2,4,0.97,1,2,1
"6445",80001,1,2,1,1,1,2,2,2,2,9,2.65,3,NA,NA
"6446",80002,1,2,2,2,2,2,2,2,2,8,1.93,3,2,5
"6447",80003,1,2,2,2,2,2,2,2,2,7,1.51,2,NA,NA
"6448",80004,1,2,2,2,2,2,2,2,2,7,1.44,2,2,1
"6449",80005,1,2,2,2,2,2,2,2,2,4,0.81,1,2,1
"6450",80006,1,2,1,2,2,2,2,2,2,4,0.92,1,NA,NA
"6451",80007,2,2,1,1,1,1,2,2,2,2,0.78,1,2,1
"6452",80008,1,2,1,2,2,2,2,2,2,NA,NA,NA,NA,NA
"6453",80009,1,2,2,2,2,2,2,2,1,10,2.06,3,NA,NA
"6454",80010,1,2,2,2,2,2,2,2,2,11,3.04,3,NA,NA
"6455",80011,1,2,1,2,2,1,1,2,2,NA,NA,NA,NA,NA
"6456",80012,1,2,2,1,2,1,2,2,2,2,0.19,1,2,2
"6457",80013,1,2,2,2,1,2,2,2,2,11,4.92,3,NA,NA
"6458",80014,1,1,1,2,1,2,2,2,2,12,5,3,NA,NA
"6459",80015,1,2,2,2,2,2,2,2,2,12,5,3,NA,NA
