Unnamed: 0,RespondentID,Income_Wages,Income_SelfEmployment,Income_SocialSecurity,Income_DisabilityPension,Income_RetirementPension,Income_SSI,Income_CashAssistance,Income_InterestDividends,Income_OtherSources,MonthlyIncomeRange,PovertyLevelIndex,PovertyLevelCategory,INQ300,IND310,INQ320
1,93703.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,1.0,,1.0
2,93704.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,12.0,5.0,3.0,1.0,,1.0
3,93705.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.49,1.0,2.0,3.0,1.0
4,93706.0,,,,,,,,,,,,,,,
5,93707.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,11.0,2.2,3.0,2.0,1.0,1.0
6,93708.0,2.0,2.0,2.0,1.0,1.0,2.0,2.0,2.0,2.0,5.0,1.46,2.0,1.0,,1.0
7,93709.0,2.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,0.96,1.0,2.0,1.0,3.0
8,93710.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,9.0,2.94,3.0,2.0,1.0,1.0
9,93711.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,1.0,,1.0
10,93712.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.76,1.0,2.0,1.0,1.0
11,93713.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.99,3.0,2.0,1.0,1.0
12,93714.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.29,1.0,2.0,2.0,1.0
13,93715.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,2.0,6.0,0.9,1.0,2.0,1.0,1.0
14,93716.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,4.11,3.0,1.0,,1.0
15,93717.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,4.0
16,93718.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,1.0,12.0,5.0,3.0,2.0,1.0,1.0
17,93719.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,11.0,3.88,3.0,2.0,1.0,1.0
18,93720.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.47,2.0,2.0,1.0,1.0
19,93721.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,2.19,3.0,2.0,1.0,1.0
20,93722.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.69,2.0,2.0,1.0,1.0
21,93723.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,3.33,3.0,1.0,,1.0
22,93724.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,5.0,0.46,1.0,2.0,1.0,1.0
23,93725.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,1.0,,1.0
24,93726.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,4.0,1.48,2.0,2.0,1.0,1.0
25,93727.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,8.0,2.92,3.0,1.0,,1.0
26,93728.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,1.0,,1.0
27,93729.0,1.0,2.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,0.87,1.0,2.0,1.0,1.0
28,93730.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,,,,,1.0
29,93731.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,11.0,2.86,3.0,1.0,,1.0
30,93732.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.13,1.0,2.0,1.0,1.0
31,93733.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,8.0,1.26,1.0,2.0,1.0,1.0
32,93734.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,10.0,3.29,3.0,1.0,,1.0
33,93735.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,3.0,0.53,1.0,2.0,1.0,4.0
34,93736.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,9.0,2.0,99.0,1.0
35,93737.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,4.0,0.87,1.0,2.0,1.0,3.0
36,93738.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,8.0,1.46,2.0,2.0,1.0,1.0
37,93739.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,1.15,1.0,2.0,1.0,1.0
38,93740.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,0.74,1.0,2.0,1.0,3.0
39,93741.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,12.0,4.89,3.0,1.0,,1.0
40,93742.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,1.0,2.0,9.0,4.55,3.0,2.0,1.0,1.0
41,93743.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,3.46,3.0,2.0,1.0,9.0
42,93744.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,5.0,1.46,2.0,2.0,1.0,1.0
43,93745.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,2.0,1.0,1.0
44,93746.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,3.28,3.0,2.0,3.0,1.0
45,93747.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,5.0,1.0,1.0,2.0,1.0,1.0
46,93748.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,11.0,4.62,3.0,2.0,3.0,1.0
47,93749.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,8.0,1.26,1.0,2.0,1.0,1.0
48,93750.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,12.0,5.0,3.0,1.0,,1.0
49,93751.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,99.0,,1.0,2.0,1.0,1.0
50,93752.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,2.0,8.0,3.98,3.0,2.0,2.0,3.0
51,93753.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,7.0,1.22,1.0,2.0,3.0,1.0
52,93754.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,99.0,,1.0,2.0,2.0,1.0
53,93755.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,2.19,3.0,2.0,1.0,1.0
54,93756.0,,,,,,,,,,,,,,,
55,93757.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,7.0,2.44,3.0,2.0,1.0,1.0
56,93758.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,3.0,0.81,1.0,2.0,1.0,4.0
57,93759.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,77.0,,7.0,7.0,,1.0
58,93760.0,,,,,,,,,,,,,,,
59,93761.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.31,1.0,2.0,1.0,1.0
60,93762.0,2.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,2.0,3.0,1.0,1.0,2.0,1.0,2.0
61,93763.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,11.0,3.41,3.0,1.0,,1.0
